user_id,abandoned_product_ids,total_cart_adds,total_views,segment,predicted_profit_90_days,risk_flag
U006274,"P000119, P000981, P001176, P001740, P001787",5.0,5.0,VVIP Loyal High-Value Customer,158.5424283174457,0.0
U000338,"P000263, P000430, P001097, P001533, P001763",5.0,6.0,General Potential Customer,143.40948581720437,0.0
U000408,"P000085, P000936, P001471, P001604, P001894",5.0,7.0,General Potential Customer,87.83305966557556,0.0
U001033,"P000249, P001018, P001227, P001438, P001661",5.0,5.0,Recent New Customer,102.5032225174181,0.0
U003780,"P000628, P000652, P000897, P001028, P001583",5.0,6.0,General Potential Customer,165.9014348258798,1.0
U003913,"P000257, P000451, P000586, P000755, P001745",5.0,3.0,General Potential Customer,117.83132237601899,0.0
U004892,"P000036, P000167, P000812, P001173, P001233",5.0,6.0,General Potential Customer,158.55968920005597,0.0
U001736,"P000312, P000317, P001324, P001399, P001988",5.0,1.0,At-Risk Repeat Customer,96.73909378922471,0.0
U001125,"P000242, P000315, P000616, P001504, P001597",5.0,7.0,Dormant High-Value Customer,86.49185100576464,0.0
U001636,"P000616, P001430, P001616, P001818, P001898",5.0,2.0,Dormant High-Value Customer,76.75020570590003,0.0
U003954,"P000122, P000275, P000315, P000709, P001287",5.0,8.0,General Potential Customer,87.2692309277188,0.0
U002882,"P000142, P000418, P000454, P000788, P001364",5.0,2.0,At-Risk Repeat Customer,91.07202232782765,0.0
U008212,"P000213, P000972, P001016, P001590, P001821",5.0,8.0,Recent New Customer,183.86107941724882,1.0
U003673,"P000106, P000393, P000828, P001836, P001903",5.0,4.0,At-Risk Repeat Customer,121.94815397570751,0.0
U001778,"P000433, P000985, P001436, P001727, P001761",5.0,5.0,Dormant High-Value Customer,146.95284403968225,0.0
U002952,"P000635, P000658, P001005, P001079, P001842",5.0,7.0,General Potential Customer,87.41704802991686,0.0
U003646,"P000728, P000738, P001392, P001663, P001828",5.0,6.0,Dormant High-Value Customer,188.4297749741621,1.0
U008279,"P000282, P000439, P001112, P001255, P001738",5.0,4.0,General Potential Customer,99.81203824792581,0.0
U006741,"P000128, P000215, P000807, P001618, P001860",5.0,8.0,General Potential Customer,219.56976540932078,1.0
U007431,"P000568, P000683, P000786, P001923",5.0,6.0,General Potential Customer,158.30864458169611,0.0
U000768,"P000454, P000550, P000631, P001072, P001804",5.0,5.0,General Potential Customer,199.32367548717235,0.0
U003334,"P000233, P000876, P001120, P001932, P001981",5.0,4.0,General Potential Customer,142.04642914409982,0.0
U008366,"P000185, P000492, P000627, P000917, P001553",5.0,4.0,Dormant High-Value Customer,133.15948018872723,0.0
U000719,"P001038, P001090, P001402, P001904, P001927",5.0,5.0,General Potential Customer,92.82874359432701,0.0
U005258,"P000223, P000312, P000464, P001426, P001999",5.0,8.0,General Potential Customer,144.4424481991849,0.0
U003847,"P000506, P000836, P001537, P001605, P001904",5.0,6.0,Recent New Customer,154.27258218128364,0.0
U007061,"P000379, P000864, P000904, P001504, P001981",5.0,12.0,General Potential Customer,101.90305122612645,0.0
U002268,"P000030, P000080, P000387, P001931",4.0,3.0,Dormant High-Value Customer,220.40872778367216,1.0
U002591,"P000233, P000955, P001545, P001942",4.0,6.0,General Potential Customer,82.65852520942029,0.0
U008999,"P000416, P000848, P001019, P001881",4.0,9.0,At-Risk Repeat Customer,175.3162782788993,0.0
U001021,"P000482, P000723, P000838, P001637",4.0,10.0,At-Risk Repeat Customer,148.390189182332,1.0
U007130,"P000266, P001128, P001387, P001811",4.0,8.0,Recent New Customer,171.98632881512373,0.0
U002002,"P000340, P001193, P001477, P001732",4.0,3.0,At-Risk Repeat Customer,151.67610870426236,1.0
U000441,"P000561, P000882, P001535, P001917",4.0,7.0,Dormant High-Value Customer,182.0349352129835,0.0
U009798,"P000839, P001099, P001393, P001605",4.0,3.0,At-Risk Repeat Customer,220.66723864577847,0.0
U002116,"P000622, P000946, P001337, P001437",4.0,0.0,Dormant High-Value Customer,185.293373219365,0.0
U002243,"P000591, P001549, P001657, P001850",4.0,2.0,General Potential Customer,76.75020570590003,0.0
U005618,"P000684, P000716, P000915, P001626",4.0,1.0,VVIP Loyal High-Value Customer,170.49118767082842,0.0
U002244,"P000182, P000594, P001555, P001989",4.0,3.0,General Potential Customer,115.89432019102348,0.0
U005629,"P000229, P000290, P000303, P000806",4.0,9.0,Dormant High-Value Customer,244.98660518762154,1.0
U002602,"P000854, P001159, P001717, P001881",4.0,6.0,At-Risk Repeat Customer,104.13158482266029,0.0
U002601,"P000022, P000454, P001815, P001824",4.0,6.0,General Potential Customer,199.8446716221696,0.0
U008763,"P000074, P000628, P000661, P001969",4.0,4.0,At-Risk Repeat Customer,195.18298747488444,0.0
U004887,"P000451, P000953, P001045, P001794",4.0,4.0,General Potential Customer,148.1941173600774,0.0
U002588,"P000991, P001456, P001576, P001625",4.0,9.0,General Potential Customer,188.6938724507258,0.0
U008066,"P000588, P000605, P001629, P001687",4.0,4.0,General Potential Customer,101.37091171100641,0.0
U004864,"P000546, P001146, P001327, P001708",4.0,5.0,General Potential Customer,84.12272260017497,0.0
U001003,"P000121, P000148, P000592, P001452",4.0,9.0,General Potential Customer,74.4737331534823,0.0
U004494,"P000991, P001329, P001513, P001884",4.0,7.0,General Potential Customer,155.91074471237417,0.0
U004658,"P000884, P001310, P001888, P001983",4.0,4.0,Recent New Customer,190.3104216490706,0.0
U006942,"P000395, P000606, P001338, P001540",4.0,6.0,Recent New Customer,186.2832708733129,1.0
U002570,"P000026, P000362, P000646, P000756",4.0,6.0,General Potential Customer,208.18789028828186,0.0
U000482,"P000358, P000457, P001033, P001678",4.0,5.0,VVIP Loyal High-Value Customer,87.30387147876004,0.0
U005633,"P000034, P000061, P001067, P001929",4.0,7.0,General Potential Customer,95.83229915421029,0.0
U000999,"P000179, P000750, P001241, P001893",4.0,6.0,General Potential Customer,147.24803981738506,0.0
U007789,"P001006, P001187, P001592, P001910",4.0,4.0,Recent New Customer,153.42237493791427,0.0
U000489,"P000435, P000735, P001009, P001236",4.0,3.0,General Potential Customer,117.92062439500562,1.0
U007792,"P000092, P000657, P000927, P000985",4.0,7.0,General Potential Customer,169.15448627239735,0.0
U002649,"P000044, P000447, P000873, P001967",4.0,5.0,Dormant High-Value Customer,163.48427641393567,0.0
U003922,"P001099, P001308, P001309, P001411",4.0,7.0,General Potential Customer,199.3641335024677,0.0
U005641,"P000175, P000775, P001500, P001512",4.0,6.0,General Potential Customer,170.086642730003,1.0
U002676,"P000527, P001355, P001665, P001790",4.0,3.0,Recent New Customer,132.36299016461993,0.0
U005596,"P000772, P000778, P000906, P001946",4.0,4.0,Dormant High-Value Customer,159.09142171905737,0.0
U000378,"P000046, P000781, P001529, P001728",4.0,5.0,At-Risk Repeat Customer,87.30387147876004,1.0
U001697,"P000842, P000883, P001563, P001649",4.0,3.0,General Potential Customer,84.19148247505166,0.0
U002721,"P000346, P000734, P000836, P001822",4.0,2.0,Dormant High-Value Customer,138.06181676863974,0.0
U006283,"P000212, P000419, P000607, P000801",4.0,5.0,General Potential Customer,83.3637422616774,0.0
U003870,"P000794, P001585, P001744, P001784",4.0,4.0,General Potential Customer,88.76079914962091,0.0
U003876,"P000479, P001049, P001199, P001335",4.0,4.0,Recent New Customer,153.42237493791427,0.0
U002703,"P000022, P000815, P000855, P000979",4.0,3.0,General Potential Customer,140.08590746814457,0.0
U000393,"P000028, P000383, P000447, P001703",4.0,3.0,Dormant High-Value Customer,76.75020570590003,0.0
U009494,"P000763, P001181, P001562, P001731",4.0,10.0,General Potential Customer,145.49256266995312,0.0
U003906,"P000034, P000041, P001194, P001644",4.0,10.0,VVIP Loyal High-Value Customer,228.6808573857289,1.0
U007753,"P000030, P000620, P000683, P001527",4.0,6.0,General Potential Customer,86.47130772529458,0.0
U002052,"P000215, P000283, P001516, P001527",4.0,7.0,VVIP Loyal High-Value Customer,129.5107801425469,1.0
U000400,"P000095, P001536, P001634, P001745",4.0,7.0,Dormant High-Value Customer,188.4297749741621,0.0
U004571,"P000965, P001034, P001686, P001938",4.0,4.0,General Potential Customer,165.29558644970606,0.0
U002654,"P000366, P000649, P000807, P001492",4.0,0.0,Recent New Customer,107.49670820859096,0.0
U006271,"P000103, P000181, P000393, P001963",4.0,4.0,Recent New Customer,153.42237493791427,0.0
U000799,"P000019, P000836, P001590, P001676",4.0,5.0,Recent New Customer,167.15151986335633,0.0
U005835,"P000437, P000584, P000704, P001036",4.0,6.0,General Potential Customer,82.65852520942029,0.0
U009638,"P000516, P000807, P000857, P000918",4.0,6.0,Dormant High-Value Customer,192.55185341036994,0.0
U006259,"P000113, P000355, P000470, P000836",4.0,4.0,Recent New Customer,153.42237493791427,0.0
U000412,"P000425, P000535, P000568, P000682",4.0,6.0,General Potential Customer,162.83984190964134,0.0
U002071,"P000096, P001306, P001385, P001922",4.0,5.0,General Potential Customer,128.34235851885802,0.0
U004541,"P000089, P000190, P001044, P001428",4.0,6.0,General Potential Customer,148.17466239684776,0.0
U001724,"P000451, P000871, P001363, P001938",4.0,5.0,General Potential Customer,89.73386911696497,0.0
U002663,"P000295, P000390, P001455, P001564",4.0,7.0,General Potential Customer,176.98072892115655,0.0
U009618,"P000271, P000345, P000622, P000626",4.0,7.0,At-Risk Repeat Customer,173.11508141443286,0.0
U005606,"P000038, P000545, P000767, P001836",4.0,5.0,VVIP Loyal High-Value Customer,157.46405911099586,0.0
U002659,"P001177, P001322, P001504, P001718",4.0,9.0,At-Risk Repeat Customer,115.47655590366264,0.0
U004533,"P000127, P000268, P000379, P001621",4.0,3.0,General Potential Customer,110.24999788204516,1.0
U002538,"P001030, P001082, P001302, P001573",4.0,5.0,General Potential Customer,235.58422575734298,1.0
U008796,"P000171, P000540, P001311, P001839",4.0,5.0,Recent New Customer,151.63095108884667,0.0
U002231,"P000167, P000610, P001118, P001411",4.0,4.0,General Potential Customer,102.57449515538326,0.0
U004275,"P000052, P000229, P000743, P001880",4.0,4.0,General Potential Customer,230.95648037184773,0.0
U000938,"P000556, P000829, P001109, P001618",4.0,6.0,General Potential Customer,142.7371010611658,0.0
U006073,"P000108, P000119, P001263, P001353",4.0,7.0,Dormant High-Value Customer,129.86560631410762,0.0
U005780,"P000185, P000536, P000763, P001122",4.0,3.0,General Potential Customer,160.4079841809966,1.0
U004764,"P000438, P000950, P001401, P001480",4.0,5.0,Dormant High-Value Customer,159.09142171905737,0.0
U000611,"P000219, P000386, P001342, P001379",4.0,0.0,At-Risk Repeat Customer,141.33977212254064,1.0
U009104,"P000107, P000746, P000925, P001550",4.0,5.0,General Potential Customer,127.10830530240489,1.0
U009709,"P000499, P001266, P001422, P001558",4.0,7.0,Recent New Customer,168.0259541432925,0.0
U005725,"P000925, P001067, P001654, P001761",4.0,6.0,General Potential Customer,127.84627967535698,0.0
U004257,"P000023, P000596, P001377, P001798",4.0,3.0,General Potential Customer,85.08676884173914,0.0
U001893,"P000571, P000636, P001855, P001902",4.0,5.0,General Potential Customer,118.49423956099493,0.0
U002210,"P000928, P001016, P001127, P001436",4.0,0.0,VVIP Loyal High-Value Customer,123.31197709920271,0.0
U006050,"P001291, P001725, P001785, P001947",4.0,12.0,General Potential Customer,154.37251468415687,0.0
U002339,"P000105, P000825, P001474, P001682",4.0,3.0,General Potential Customer,187.39462473674553,0.0
U004263,"P000532, P000582, P001226, P001379",4.0,8.0,General Potential Customer,147.29239674093964,0.0
U006043,"P000984, P001227, P001496, P001687",4.0,10.0,General Potential Customer,144.73897110982662,0.0
U002521,"P000440, P000693, P001213, P001945",4.0,5.0,General Potential Customer,81.31861799267155,0.0
U004396,"P000261, P000363, P001511, P001909",4.0,7.0,General Potential Customer,91.09107833779862,0.0
U009665,"P000403, P000639, P001066, P001490",4.0,5.0,General Potential Customer,105.51572762047874,0.0
U004704,"P000456, P001115, P001512, P001837",4.0,3.0,General Potential Customer,88.76079914962091,0.0
U007182,"P000950, P000956, P001066, P001266",4.0,4.0,General Potential Customer,88.76079914962091,0.0
U005767,"P000162, P001157, P001894, P001990",4.0,5.0,General Potential Customer,89.73386911696497,0.0
U004353,"P000001, P000056, P000430, P001043",4.0,3.0,General Potential Customer,86.23660674405751,0.0
U002224,"P000344, P000803, P000942, P001712",4.0,5.0,Dormant High-Value Customer,135.97755743183438,0.0
U001920,"P000112, P000195, P000341, P001913",4.0,0.0,General Potential Customer,143.59668070636695,0.0
U009685,"P000511, P000667, P001447, P001787",4.0,6.0,General Potential Customer,96.72839439942615,0.0
U005997,"P000549, P000850, P001597, P001638",4.0,5.0,Dormant High-Value Customer,163.21373290825278,0.0
U007168,"P000222, P000437, P000575, P001474",4.0,6.0,General Potential Customer,172.50462135770468,0.0
U007904,"P000009, P000483, P000871, P001649",4.0,7.0,General Potential Customer,139.99806238628852,0.0
U007896,"P000012, P001429, P001487, P001724",4.0,4.0,General Potential Customer,73.43622914340003,0.0
U000672,"P000490, P000704, P001466, P001757",4.0,4.0,General Potential Customer,87.13189311074498,0.0
U009125,"P000109, P000648, P001014, P001610",4.0,6.0,General Potential Customer,160.43411521421822,0.0
U004162,"P000839, P001113, P001170, P001503",4.0,8.0,VVIP Loyal High-Value Customer,97.91849499096645,0.0
U008001,"P000669, P000718, P000953, P001439",4.0,10.0,Recent New Customer,179.15636240024418,0.0
U000957,"P000114, P000134, P001642, P001786",4.0,4.0,Dormant High-Value Customer,106.71029209027316,0.0
U005816,"P000038, P000640, P001134, P001548",4.0,7.0,Recent New Customer,248.77655235121375,1.0
U009762,"P000263, P001117, P001470, P001471",4.0,4.0,General Potential Customer,93.50201996603256,0.0
U002239,"P000453, P000540, P001610, P001696",4.0,3.0,General Potential Customer,165.32356767407583,1.0
U000746,"P000514, P000702, P000769, P001790",4.0,8.0,General Potential Customer,177.37674376245138,0.0
U000992,"P000348, P001232, P001296, P001391",4.0,4.0,Dormant High-Value Customer,152.56119346782208,0.0
U006157,"P000464, P000559, P000925, P001836",4.0,3.0,General Potential Customer,148.3886503975527,0.0
U008804,"P000094, P000894, P001596, P001769",4.0,4.0,General Potential Customer,87.13189311074498,0.0
U002504,"P000056, P000430, P000918, P000974",4.0,7.0,General Potential Customer,88.36291692316448,0.0
U008038,"P000037, P000615, P001075, P001837",4.0,8.0,General Potential Customer,197.9202190178804,0.0
U007805,"P000273, P000503, P001288, P001924",4.0,6.0,At-Risk Repeat Customer,108.06327744844961,0.0
U008973,"P000711, P000922, P001670, P001949",4.0,7.0,General Potential Customer,91.09107833779862,0.0
U009158,"P000053, P000197, P000832, P001904",4.0,4.0,Dormant High-Value Customer,192.55185341036994,1.0
U009747,"P000908, P001141, P001166, P001307",4.0,5.0,General Potential Customer,105.44118036778482,1.0
U007649,"P000521, P001828, P001856, P001962",4.0,7.0,General Potential Customer,165.2685258400398,0.0
U009533,"P000547, P000967, P001173, P001601",4.0,5.0,General Potential Customer,178.53925593330564,1.0
U004671,"P000028, P000214, P000586, P000759",4.0,10.0,VVIP Loyal High-Value Customer,126.354875115501,0.0
U007807,"P000635, P000666, P000859, P001986",4.0,7.0,General Potential Customer,161.9843381504495,0.0
U008015,"P000060, P000715, P001490, P001539",4.0,7.0,VVIP Loyal High-Value Customer,170.58046268768646,1.0
U009153,"P000536, P000659, P001126, P001436",4.0,5.0,General Potential Customer,147.59372884507138,0.0
U000561,"P000147, P000341, P000582, P000876",4.0,6.0,General Potential Customer,152.93195942672233,0.0
U007836,"P000693, P000784, P001215, P001737",4.0,7.0,At-Risk Repeat Customer,150.85824832409182,0.0
U007661,"P000566, P000669, P001505, P001972",4.0,6.0,General Potential Customer,88.1711118193885,0.0
U000565,"P000094, P001216, P001333, P001994",4.0,4.0,At-Risk Repeat Customer,108.61167151837667,0.0
U009731,"P000560, P000660, P000841, P001645",4.0,4.0,General Potential Customer,123.94012160138936,0.0
U002194,"P000134, P000142, P000921, P001278",4.0,2.0,General Potential Customer,158.66646644048438,0.0
U009140,"P000719, P001082, P001500, P001581",4.0,5.0,General Potential Customer,111.13429137464568,0.0
U004415,"P000180, P000463, P000572, P001921",4.0,7.0,General Potential Customer,149.11055160422634,0.0
U008928,"P000382, P001272, P001353, P001569",4.0,5.0,General Potential Customer,106.2726868648615,1.0
U007671,"P000072, P000588, P000600, P001793",4.0,3.0,Recent New Customer,128.38796088307248,1.0
U002517,"P000035, P000659, P001261, P001444",4.0,8.0,General Potential Customer,192.87885831472485,0.0
U001719,"P000002, P000010, P000173, P001161",4.0,3.0,General Potential Customer,118.68012364920813,1.0
U001580,"P000457, P001170, P001349, P001980",4.0,4.0,General Potential Customer,105.44118036778482,0.0
U005507,"P000006, P000867, P001097, P001738",4.0,4.0,At-Risk Repeat Customer,166.39418825867486,1.0
U001221,"P000765, P000881, P000897, P001288",4.0,3.0,At-Risk Repeat Customer,141.51357532180816,0.0
U003577,"P000117, P000863, P001292, P001971",4.0,8.0,VVIP Loyal High-Value Customer,158.9116399576948,0.0
U006624,"P000811, P000963, P001095, P001601",4.0,9.0,General Potential Customer,163.52963488856855,1.0
U008243,"P000139, P000727, P000843, P001867",4.0,4.0,General Potential Customer,150.81582555057176,0.0
U007503,"P000449, P000858, P001257, P001258",4.0,2.0,General Potential Customer,128.30060880503015,0.0
U003371,"P000618, P001082, P001314, P001468",4.0,7.0,General Potential Customer,151.8426643321033,0.0
U009444,"P000126, P000260, P000419, P000961",4.0,4.0,General Potential Customer,93.93828926589997,0.0
U008360,"P000271, P000580, P001645, P001876",4.0,9.0,At-Risk Repeat Customer,108.71444538640533,0.0
U001355,"P001192, P001269, P001524, P001921",4.0,2.0,Dormant High-Value Customer,164.64220671689662,0.0
U009267,"P000225, P000440, P001016, P001835",4.0,10.0,VVIP Loyal High-Value Customer,149.7270873408495,0.0
U006813,"P000449, P000807, P001384, P001834",4.0,9.0,VVIP Loyal High-Value Customer,137.41305579907618,0.0
U007515,"P000110, P000182, P001049, P001403",4.0,10.0,Dormant High-Value Customer,97.12461001584414,0.0
U008368,"P000273, P000519, P000632, P000732",4.0,6.0,General Potential Customer,142.66596225985322,0.0
U005059,"P001170, P001363, P001744, P001814",4.0,12.0,General Potential Customer,149.3590767980937,0.0
U007294,"P000607, P001074, P001112, P001989",4.0,3.0,General Potential Customer,99.81203824792581,0.0
U006642,"P000218, P000589, P000940, P001638",4.0,7.0,VVIP Loyal High-Value Customer,119.40824852945198,0.0
U003664,"P000855, P001089, P001839, P001926",4.0,4.0,At-Risk Repeat Customer,169.85039226666058,0.0
U002923,"P000149, P000487, P000550, P001135",4.0,2.0,General Potential Customer,85.02686324769998,0.0
U003665,"P000947, P001625, P001711, P001976",4.0,6.0,At-Risk Repeat Customer,172.61404520707495,1.0
U009972,"P000760, P000817, P001425, P001804",4.0,7.0,Dormant High-Value Customer,154.8914460597297,0.0
U006645,"P001575, P001772, P001787, P001929",4.0,4.0,VVIP Loyal High-Value Customer,115.85949482137843,0.0
U008371,"P000093, P000659, P001531, P001798",4.0,3.0,General Potential Customer,117.83132237601899,0.0
U005053,"P000950, P001081, P001566, P001631",4.0,7.0,Recent New Customer,137.83246965958494,0.0
U009243,"P000081, P000102, P001037, P001472",4.0,9.0,VVIP Loyal High-Value Customer,147.04376281686214,0.0
U006409,"P000031, P000312, P001092, P001123",4.0,5.0,At-Risk Repeat Customer,126.63501245564257,0.0
U009282,"P000333, P000438, P000691, P001737",4.0,7.0,At-Risk Repeat Customer,188.25066134246805,0.0
U005131,"P001020, P001546, P001584, P001700",4.0,4.0,General Potential Customer,116.4342449728531,0.0
U002878,"P000340, P000357, P000850, P000955",4.0,1.0,At-Risk Repeat Customer,102.83921886303725,0.0
U009410,"P000365, P000670, P000910, P001745",4.0,10.0,General Potential Customer,204.30413774804956,0.0
U001464,"P000680, P000780, P001776, P001873",4.0,6.0,General Potential Customer,76.01060833926226,0.0
U001466,"P000645, P001114, P001315, P001921",4.0,7.0,General Potential Customer,213.84392295554284,0.0
U005203,"P000210, P001112, P001402, P001659",4.0,4.0,General Potential Customer,166.30902401467512,0.0
U001186,"P000003, P001150, P001390, P001751",4.0,3.0,At-Risk Repeat Customer,148.2868606209406,0.0
U007458,"P000506, P000915, P001353, P001651",4.0,5.0,General Potential Customer,139.94542777789243,0.0
U008515,"P000546, P000725, P001230, P001674",4.0,8.0,Recent New Customer,171.98632881512373,0.0
U003492,"P000174, P000657, P000681, P001885",4.0,5.0,General Potential Customer,98.30274666459248,0.0
U007465,"P001221, P001257, P001683, P001756",4.0,8.0,VVIP Loyal High-Value Customer,153.7823221441334,0.0
U005191,"P000637, P000832, P001560, P001919",4.0,6.0,At-Risk Repeat Customer,153.2800949215919,0.0
U009302,"P000606, P000924, P000942, P001743",4.0,4.0,General Potential Customer,85.08676884173914,0.0
U009920,"P000275, P001399, P001589, P001907",4.0,4.0,General Potential Customer,136.4633878141928,0.0
U008301,"P000373, P000570, P000684, P001989",4.0,3.0,General Potential Customer,180.47569729904953,0.0
U000157,"P000746, P000957, P001341, P001512",4.0,5.0,At-Risk Repeat Customer,192.6908251793844,1.0
U009945,"P000135, P000809, P001250, P001898",4.0,3.0,Dormant High-Value Customer,216.35515539426487,0.0
U005500,"P000270, P001226, P001387, P001431",4.0,3.0,At-Risk Repeat Customer,107.26085691830617,1.0
U007484,"P000553, P000672, P001343, P001782",4.0,11.0,Dormant High-Value Customer,123.68849158143921,1.0
U003128,"P000223, P000327, P000718, P001853",4.0,8.0,General Potential Customer,89.99739234235294,0.0
U000169,"P000414, P000848, P001446, P001768",4.0,6.0,General Potential Customer,130.7000238172492,1.0
U008130,"P000760, P000884, P001133, P001682",4.0,10.0,General Potential Customer,103.03935789747409,0.0
U001419,"P000370, P000655, P000716, P001370",4.0,7.0,General Potential Customer,165.13741008086276,0.0
U001410,"P000547, P001288, P001819, P001895",4.0,5.0,General Potential Customer,75.53291243751768,0.0
U000090,"P000293, P000309, P001064, P001151",4.0,5.0,General Potential Customer,201.47743709336268,0.0
U001164,"P000149, P000159, P000562, P001397",4.0,5.0,General Potential Customer,134.57820324309327,0.0
U001520,"P000476, P000601, P001128, P001594",4.0,5.0,General Potential Customer,154.4978079903937,0.0
U009903,"P000670, P000776, P001757, P001973",4.0,4.0,VVIP Loyal High-Value Customer,195.6656557340363,1.0
U000277,"P000233, P000806, P001409, P001657",4.0,5.0,General Potential Customer,107.87339594488921,0.0
U003453,"P000257, P000378, P001130, P001906",4.0,7.0,General Potential Customer,226.79226304798826,0.0
U001071,"P000248, P000834, P001062, P001901",4.0,8.0,General Potential Customer,155.85910379345836,0.0
U000314,"P000124, P000239, P001512, P001612",4.0,5.0,General Potential Customer,147.13127475398596,0.0
U003837,"P000182, P000712, P001210, P001663",4.0,1.0,General Potential Customer,84.19148247505166,0.0
U001677,"P000652, P000759, P001252, P001447",4.0,5.0,General Potential Customer,159.62961579097072,0.0
U007398,"P000901, P001087, P001565, P001705",4.0,4.0,General Potential Customer,99.87033750900954,0.0
U003813,"P000283, P000362, P001580, P001614",4.0,6.0,General Potential Customer,88.13858423676888,0.0
U009978,"P000854, P000904, P001512, P001513",4.0,6.0,General Potential Customer,127.84627967535698,0.0
U008412,"P000185, P000312, P000342, P001938",4.0,4.0,General Potential Customer,73.43622914340003,0.0
U006844,"P000072, P000094, P000607, P000679",4.0,5.0,Recent New Customer,178.3614007692754,0.0
U009851,"P000200, P000355, P000474, P001758",4.0,6.0,Dormant High-Value Customer,78.08920853485105,0.0
U006330,"P000345, P000442, P000881, P000894",4.0,5.0,General Potential Customer,157.20776919347063,0.0
U004980,"P000124, P000413, P001655, P001892",4.0,4.0,General Potential Customer,169.48455652627206,0.0
U001056,"P000296, P000729, P001661, P001866",4.0,9.0,Dormant High-Value Customer,70.7361142602347,0.0
U002843,"P001033, P001620, P001862, P001937",4.0,10.0,At-Risk Repeat Customer,191.90923063778953,1.0
U008164,"P001153, P001582, P001687, P001890",4.0,8.0,At-Risk Repeat Customer,147.5681465900327,0.0
U001659,"P000792, P001180, P001245, P001541",4.0,8.0,General Potential Customer,89.99739234235294,0.0
U001668,"P000174, P000604, P001109, P001371",4.0,5.0,At-Risk Repeat Customer,84.5757100641259,0.0
U009224,"P000619, P001302, P001360, P001862",4.0,6.0,General Potential Customer,127.84627967535698,0.0
