affinity_level,product_a_id,product_a_name,product_a_category,product_b_id,product_b_name,product_b_category,co_occurrence_count,support,confidence_A_to_B
product,P001405,Solace Strong,Toys,P001292,Astra Measure,Automotive,2,0.0001,0.125
product,P000423,Everest Police,Pet Supplies,P001380,Harbor Free,Clothing,2,0.0001,0.125
product,P000268,Willow Officer,Automotive,P000809,GreenLeaf Carry,Clothing,2,0.0001,0.125
product,P001183,Nimbus Word,Electronics,P001984,Willow Eye,Books,2,0.0001,0.125
product,P000300,Astra May,Groceries,P001801,Harbor Wrong,Sports,2,0.0001,0.125
product,P000177,Astra Visit,Beauty,P001165,Willow Never,Groceries,2,0.0001,0.125
product,P000934,Orion Network,Pet Supplies,P001775,Zenith Religious,Groceries,3,0.0001,0.12
product,P001059,Harbor Third,Beauty,P001775,Zenith Religious,Groceries,2,0.0001,0.1176
product,P000514,Everest Despite,Home & Kitchen,P000053,Willow Item,Automotive,2,0.0001,0.1176
product,P001693,GreenLeaf Next,Books,P001543,Nimbus Attack,Beauty,2,0.0001,0.1176
product,P000532,Pulse Commercial,Clothing,P000434,NeoTech Anything,Toys,2,0.0001,0.1176
product,P000365,NeoTech In,Toys,P000165,Solace Difference,Electronics,2,0.0001,0.1176
product,P001324,GreenLeaf Approach,Groceries,P001203,Harbor Would,Home & Kitchen,2,0.0001,0.1176
product,P000911,Solace Bit,Books,P001717,Orion Society,Electronics,2,0.0001,0.1176
product,P000159,Nimbus Stock,Sports,P000438,Orion Pm,Home & Kitchen,2,0.0001,0.1176
product,P000023,Harbor Health,Groceries,P000730,Everest Miss,Automotive,2,0.0001,0.1176
product,P000271,Willow Include,Pet Supplies,P000691,GreenLeaf Concern,Groceries,2,0.0001,0.1176
product,P000452,Zenith Total,Books,P001595,Pulse Direction,Home & Kitchen,2,0.0001,0.1176
product,P000221,Nimbus Customer,Groceries,P001803,NeoTech Throughout,Beauty,2,0.0001,0.1176
product,P001626,Nimbus Out,Groceries,P001294,Solace But,Toys,2,0.0001,0.1176
product,P000743,Harbor Fill,Electronics,P000201,Willow Something,Toys,2,0.0001,0.1176
product,P001908,Nimbus Whose,Clothing,P001554,Astra Such,Pet Supplies,2,0.0001,0.1176
product,P001598,NeoTech Administration,Automotive,P001328,NeoTech Act,Toys,2,0.0001,0.1176
product,P000159,Nimbus Stock,Sports,P000372,Solace Particular,Pet Supplies,2,0.0001,0.1176
product,P000030,Willow Budget,Clothing,P000567,Orion Democrat,Home & Kitchen,2,0.0001,0.1176
product,P000672,Pulse Yeah,Automotive,P001839,Zenith Few,Sports,2,0.0001,0.1176
product,P000970,Acme Art,Pet Supplies,P001463,Harbor Doctor,Books,2,0.0001,0.1176
product,P000984,Pulse Possible,Home & Kitchen,P001566,Willow Entire,Groceries,2,0.0001,0.1176
product,P000295,NeoTech What,Pet Supplies,P001250,Harbor Thought,Toys,2,0.0001,0.1176
product,P001549,GreenLeaf Drive,Books,P001243,GreenLeaf Design,Sports,2,0.0001,0.1176
product,P001631,Acme Real,Sports,P001609,Nimbus Hold,Books,2,0.0001,0.1176
product,P000600,Solace Speak,Beauty,P001272,Willow Wall,Beauty,2,0.0001,0.1176
product,P001047,Pulse But,Pet Supplies,P000330,Orion Begin,Pet Supplies,2,0.0001,0.1176
product,P001272,Willow Wall,Beauty,P000600,Solace Speak,Beauty,2,0.0001,0.1176
product,P000033,Pulse Officer,Toys,P000120,Zenith White,Clothing,2,0.0001,0.1176
product,P000887,Acme Democratic,Automotive,P001897,Nimbus Expert,Beauty,2,0.0001,0.1176
product,P001638,Harbor Story,Home & Kitchen,P000250,Harbor Seek,Sports,2,0.0001,0.1176
product,P001323,GreenLeaf Analysis,Books,P000294,Zenith Recently,Automotive,2,0.0001,0.1176
product,P000972,Orion Style,Beauty,P000384,Nimbus Take,Automotive,2,0.0001,0.1111
product,P001510,GreenLeaf Reduce,Pet Supplies,P000870,Orion Thought,Clothing,2,0.0001,0.1111
product,P001993,Zenith Rise,Pet Supplies,P001187,Zenith Turn,Groceries,2,0.0001,0.1111
product,P001854,Astra Key,Sports,P001828,Willow Cost,Books,2,0.0001,0.1111
product,P000958,Pulse Five,Sports,P000111,GreenLeaf Bar,Clothing,2,0.0001,0.1111
product,P001380,Harbor Free,Clothing,P000423,Everest Police,Pet Supplies,2,0.0001,0.1111
product,P000696,Solace Glass,Automotive,P000678,Zenith Whole,Toys,2,0.0001,0.1111
product,P001017,Orion Late,Sports,P000653,Orion Coach,Electronics,2,0.0001,0.1111
product,P000834,Zenith Need,Electronics,P001329,Willow Mean,Sports,2,0.0001,0.1111
product,P000040,Acme Night,Home & Kitchen,P001373,Solace Make,Electronics,2,0.0001,0.1111
product,P001717,Orion Society,Electronics,P000911,Solace Bit,Books,2,0.0001,0.1111
product,P000802,Orion Stand,Clothing,P000655,Astra Strong,Beauty,2,0.0001,0.1111
product,P001372,Everest Summer,Beauty,P001260,Willow Add,Automotive,2,0.0001,0.1111
product,P000644,NeoTech Investment,Automotive,P001187,Zenith Turn,Groceries,2,0.0001,0.1111
product,P001450,Zenith Should,Clothing,P000294,Zenith Recently,Automotive,2,0.0001,0.1111
product,P001775,Zenith Religious,Groceries,P001059,Harbor Third,Beauty,2,0.0001,0.1111
product,P000712,GreenLeaf Window,Clothing,P000791,Pulse Piece,Books,2,0.0001,0.1111
product,P000681,Acme Keep,Electronics,P000932,Astra Last,Pet Supplies,2,0.0001,0.1111
product,P001795,Orion Focus,Home & Kitchen,P001843,Nimbus Near,Toys,2,0.0001,0.1111
product,P001380,Harbor Free,Clothing,P001728,Harbor Property,Books,2,0.0001,0.1111
product,P000441,Nimbus Significant,Sports,P001411,Astra Support,Clothing,2,0.0001,0.1111
product,P001657,Solace Table,Groceries,P000102,Pulse Surface,Groceries,2,0.0001,0.1111
product,P000712,GreenLeaf Window,Clothing,P000698,Everest Represent,Pet Supplies,2,0.0001,0.1111
product,P001650,Solace Suffer,Books,P001724,NeoTech Mind,Electronics,2,0.0001,0.1111
product,P000280,Zenith Cold,Groceries,P000114,Zenith Create,Electronics,2,0.0001,0.1111
product,P001463,Harbor Doctor,Books,P000970,Acme Art,Pet Supplies,2,0.0001,0.1111
product,P001717,Orion Society,Electronics,P001669,Solace Media,Toys,2,0.0001,0.1111
product,P001534,Zenith Trial,Beauty,P001600,Harbor Significant,Sports,2,0.0001,0.1111
product,P001657,Solace Table,Groceries,P001174,Zenith Wait,Sports,2,0.0001,0.1111
product,P001017,Orion Late,Sports,P001639,Everest Single,Clothing,2,0.0001,0.1111
product,P001344,Orion Second,Pet Supplies,P001030,Acme Figure,Home & Kitchen,3,0.0001,0.1071
product,P000652,Pulse Wait,Clothing,P000518,Willow Newspaper,Groceries,2,0.0001,0.1053
product,P001024,Astra Pull,Electronics,P001020,Acme Miss,Electronics,2,0.0001,0.1053
product,P001944,Nimbus East,Books,P001019,GreenLeaf Whatever,Toys,2,0.0001,0.1053
product,P001533,GreenLeaf Star,Beauty,P001112,Willow Sing,Groceries,2,0.0001,0.1053
product,P000791,Pulse Piece,Books,P000046,Pulse Project,Pet Supplies,2,0.0001,0.1053
product,P001373,Solace Make,Electronics,P000040,Acme Night,Home & Kitchen,2,0.0001,0.1053
product,P000314,Everest According,Books,P000340,Zenith Life,Groceries,2,0.0001,0.1053
product,P000297,Everest Deep,Automotive,P001350,Harbor Production,Clothing,2,0.0001,0.1053
product,P000165,Solace Difference,Electronics,P000365,NeoTech In,Toys,2,0.0001,0.1053
product,P001748,Solace Who,Toys,P001163,Everest Child,Home & Kitchen,2,0.0001,0.1053
product,P001138,Orion Push,Pet Supplies,P000599,Nimbus Analysis,Groceries,2,0.0001,0.1053
product,P000791,Pulse Piece,Books,P000712,GreenLeaf Window,Clothing,2,0.0001,0.1053
product,P001137,NeoTech More,Home & Kitchen,P000874,Acme American,Electronics,2,0.0001,0.1053
product,P001533,GreenLeaf Star,Beauty,P000180,Orion Upon,Home & Kitchen,2,0.0001,0.1053
product,P001828,Willow Cost,Books,P000248,Solace Street,Beauty,2,0.0001,0.1053
product,P000933,Pulse Attention,Sports,P000390,Acme Coach,Groceries,2,0.0001,0.1053
product,P000791,Pulse Piece,Books,P001654,GreenLeaf Eye,Sports,2,0.0001,0.1053
product,P000136,Zenith Phone,Electronics,P001928,Everest Coach,Beauty,2,0.0001,0.1053
product,P001653,Nimbus Control,Electronics,P000171,Astra Protect,Toys,2,0.0001,0.1053
product,P000652,Pulse Wait,Clothing,P000774,Harbor Think,Clothing,2,0.0001,0.1053
product,P000317,Zenith International,Home & Kitchen,P001963,Orion Give,Clothing,2,0.0001,0.1053
product,P001828,Willow Cost,Books,P001854,Astra Key,Sports,2,0.0001,0.1053
product,P000165,Solace Difference,Electronics,P000334,Pulse Something,Pet Supplies,2,0.0001,0.1053
product,P000377,GreenLeaf Eat,Toys,P000133,Solace Team,Pet Supplies,2,0.0001,0.1053
product,P001012,Acme Him,Electronics,P001231,Solace All,Sports,2,0.0001,0.1053
product,P001360,GreenLeaf Say,Pet Supplies,P001169,Solace Education,Sports,2,0.0001,0.1053
product,P000518,Willow Newspaper,Groceries,P000652,Pulse Wait,Clothing,2,0.0001,0.1053
product,P001067,GreenLeaf More,Sports,P001421,Astra Mean,Electronics,2,0.0001,0.1053
product,P000297,Everest Deep,Automotive,P001462,Zenith Happy,Electronics,2,0.0001,0.1053
product,P000406,NeoTech Provide,Sports,P001002,Harbor Night,Clothing,2,0.0001,0.1053
product,P000769,Orion Above,Electronics,P001196,Orion Near,Home & Kitchen,2,0.0001,0.1053
product,P001734,Astra About,Home & Kitchen,P001642,Acme Design,Groceries,2,0.0001,0.1053
product,P000214,Everest Even,Home & Kitchen,P001540,Harbor Whom,Automotive,2,0.0001,0.1053
product,P000297,Everest Deep,Automotive,P000249,NeoTech Husband,Books,2,0.0001,0.1053
product,P000628,Astra Small,Electronics,P001466,Orion Fund,Beauty,2,0.0001,0.1053
product,P000183,Orion Like,Groceries,P001705,Astra Marriage,Groceries,2,0.0001,0.1053
product,P000708,Nimbus Under,Beauty,P001406,Acme Far,Books,2,0.0001,0.1053
product,P001451,Solace Know,Automotive,P000606,Everest Since,Clothing,2,0.0001,0.1053
product,P001332,Orion Moment,Books,P000651,Solace Option,Automotive,2,0.0001,0.1053
product,P001383,Everest Professional,Groceries,P000549,Zenith History,Books,2,0.0001,0.1053
product,P000126,Willow Arm,Sports,P000525,GreenLeaf According,Books,2,0.0001,0.1053
product,P000471,NeoTech While,Sports,P000953,Everest Century,Sports,2,0.0001,0.1053
product,P001828,Willow Cost,Books,P001881,Acme Support,Books,2,0.0001,0.1053
product,P001691,Everest Stop,Automotive,P001644,Acme Field,Beauty,2,0.0001,0.1053
product,P000411,Acme Common,Pet Supplies,P000249,NeoTech Husband,Books,2,0.0001,0.1053
product,P001230,Orion Season,Toys,P001214,Nimbus Nice,Toys,3,0.0001,0.1034
product,P001334,Solace Personal,Beauty,P001249,GreenLeaf Even,Books,3,0.0001,0.1034
product,P000264,Acme Account,Electronics,P001687,Orion Painting,Pet Supplies,2,0.0001,0.1
product,P000895,Harbor Risk,Groceries,P000272,Nimbus Process,Electronics,2,0.0001,0.1
product,P001929,Willow Front,Books,P001089,NeoTech Person,Books,2,0.0001,0.1
product,P001123,NeoTech May,Groceries,P000063,Pulse Eight,Groceries,2,0.0001,0.1
product,P000201,Willow Something,Toys,P001771,GreenLeaf Guess,Sports,2,0.0001,0.1
product,P001411,Astra Support,Clothing,P000441,Nimbus Significant,Sports,2,0.0001,0.1
product,P000081,Zenith Great,Toys,P000677,Astra Cost,Pet Supplies,2,0.0001,0.1
product,P001015,Pulse Seem,Beauty,P001401,Astra Reveal,Books,2,0.0001,0.1
product,P001166,Solace Peace,Sports,P000045,Nimbus Wrong,Automotive,2,0.0001,0.1
product,P000566,Nimbus Himself,Home & Kitchen,P001330,NeoTech Hair,Pet Supplies,2,0.0001,0.1
product,P000041,Harbor Recent,Books,P000512,Nimbus Knowledge,Sports,2,0.0001,0.1
product,P001256,Astra Who,Books,P001511,GreenLeaf Push,Books,2,0.0001,0.1
product,P000041,Harbor Recent,Books,P001705,Astra Marriage,Groceries,2,0.0001,0.1
product,P001376,Harbor Few,Pet Supplies,P001743,Zenith Happy,Home & Kitchen,2,0.0001,0.1
product,P001429,Acme Blood,Groceries,P001227,GreenLeaf System,Electronics,2,0.0001,0.1
product,P000858,Harbor City,Clothing,P000812,Solace Time,Groceries,2,0.0001,0.1
product,P000269,Zenith Clear,Pet Supplies,P000655,Astra Strong,Beauty,2,0.0001,0.1
product,P000559,Zenith Hope,Sports,P001680,Willow Full,Automotive,2,0.0001,0.1
product,P001680,Willow Full,Automotive,P000559,Zenith Hope,Sports,2,0.0001,0.1
product,P000272,Nimbus Process,Electronics,P000760,Zenith North,Beauty,2,0.0001,0.1
product,P001015,Pulse Seem,Beauty,P000074,Willow Week,Toys,2,0.0001,0.1
product,P000272,Nimbus Process,Electronics,P000895,Harbor Risk,Groceries,2,0.0001,0.1
product,P001724,NeoTech Mind,Electronics,P001650,Solace Suffer,Books,2,0.0001,0.1
product,P000359,Zenith Citizen,Pet Supplies,P001212,Harbor Be,Clothing,2,0.0001,0.1
product,P000116,Acme Stock,Home & Kitchen,P001191,Pulse Direction,Toys,2,0.0001,0.1
product,P001531,Pulse Race,Pet Supplies,P000574,Astra Computer,Beauty,2,0.0001,0.1
product,P001384,Pulse Few,Clothing,P000955,Solace So,Sports,2,0.0001,0.1
product,P000840,Harbor Probably,Automotive,P000339,Nimbus Memory,Pet Supplies,2,0.0001,0.1
product,P000458,Everest Black,Electronics,P000461,Nimbus Family,Electronics,2,0.0001,0.1
product,P000201,Willow Something,Toys,P000743,Harbor Fill,Electronics,2,0.0001,0.1
product,P000470,Zenith Gas,Pet Supplies,P000434,NeoTech Anything,Toys,2,0.0001,0.1
product,P001689,Willow Condition,Sports,P000836,NeoTech Develop,Books,2,0.0001,0.1
product,P000922,Pulse Goal,Home & Kitchen,P001169,Solace Education,Sports,2,0.0001,0.1
product,P001147,Orion Position,Home & Kitchen,P001789,Willow Wall,Automotive,2,0.0001,0.1
product,P001595,Pulse Direction,Home & Kitchen,P000452,Zenith Total,Books,2,0.0001,0.1
product,P000076,Nimbus Test,Beauty,P001945,Astra Future,Pet Supplies,2,0.0001,0.1
product,P001318,Orion Skill,Beauty,P000777,NeoTech Eye,Pet Supplies,2,0.0001,0.1
product,P001774,Astra Take,Groceries,P000829,Harbor Art,Beauty,2,0.0001,0.1
product,P001374,Orion Particularly,Clothing,P001094,Astra Type,Groceries,2,0.0001,0.1
product,P000651,Solace Option,Automotive,P001332,Orion Moment,Books,2,0.0001,0.1
product,P001933,Zenith Live,Pet Supplies,P000777,NeoTech Eye,Pet Supplies,2,0.0001,0.1
product,P001509,Everest Reach,Beauty,P000034,Everest Figure,Automotive,2,0.0001,0.1
product,P001937,Pulse Reveal,Beauty,P000960,Acme South,Groceries,2,0.0001,0.1
product,P001337,NeoTech Occur,Toys,P001488,Zenith Like,Books,2,0.0001,0.1
product,P000085,Astra Make,Automotive,P000827,Willow Cell,Books,2,0.0001,0.1
product,P000729,Orion View,Clothing,P001760,Everest Fast,Toys,2,0.0001,0.1
product,P001979,NeoTech Our,Electronics,P001801,Harbor Wrong,Sports,2,0.0001,0.1
product,P000575,Pulse Or,Automotive,P001552,Nimbus Key,Automotive,2,0.0001,0.1
product,P001384,Pulse Few,Clothing,P001786,Astra Expect,Sports,2,0.0001,0.1
product,P000729,Orion View,Clothing,P000902,GreenLeaf Card,Pet Supplies,2,0.0001,0.1
product,P001494,NeoTech Often,Books,P001608,Orion Whatever,Books,2,0.0001,0.1
product,P001728,Harbor Property,Books,P001380,Harbor Free,Clothing,2,0.0001,0.1
product,P001411,Astra Support,Clothing,P001731,GreenLeaf Glass,Electronics,2,0.0001,0.1
product,P000079,Orion However,Pet Supplies,P000044,NeoTech Possible,Toys,2,0.0001,0.1
product,P001101,Harbor Another,Beauty,P000555,Acme Of,Electronics,2,0.0001,0.1
product,P000205,Pulse The,Toys,P001438,Zenith Word,Home & Kitchen,2,0.0001,0.1
product,P001438,Zenith Word,Home & Kitchen,P000205,Pulse The,Toys,2,0.0001,0.1
product,P000926,Zenith He,Home & Kitchen,P001577,Solace Small,Toys,2,0.0001,0.1
product,P000205,Pulse The,Toys,P000467,Orion Debate,Electronics,2,0.0001,0.1
product,P000929,Nimbus Learn,Beauty,P000304,Willow Site,Clothing,2,0.0001,0.1
product,P001718,Acme Brother,Groceries,P000479,Astra Hospital,Pet Supplies,2,0.0001,0.1
product,P001160,Everest Compare,Sports,P000923,NeoTech Change,Groceries,2,0.0001,0.1
product,P000886,Pulse Sea,Automotive,P000801,Everest Voice,Pet Supplies,2,0.0001,0.0952
product,P000028,Astra Road,Automotive,P001192,Pulse Street,Home & Kitchen,2,0.0001,0.0952
product,P000567,Orion Democrat,Home & Kitchen,P000030,Willow Budget,Clothing,2,0.0001,0.0952
product,P001552,Nimbus Key,Automotive,P000575,Pulse Or,Automotive,2,0.0001,0.0952
product,P001469,Orion Method,Clothing,P000800,Acme Whom,Pet Supplies,2,0.0001,0.0952
product,P000605,Zenith Dog,Clothing,P001473,Orion Former,Toys,2,0.0001,0.0952
product,P000831,Zenith Strong,Pet Supplies,P001193,Zenith Team,Pet Supplies,2,0.0001,0.0952
product,P001469,Orion Method,Clothing,P001315,Everest Well,Books,2,0.0001,0.0952
product,P000249,NeoTech Husband,Books,P000411,Acme Common,Pet Supplies,2,0.0001,0.0952
product,P000597,Acme Consumer,Groceries,P001109,Acme So,Toys,2,0.0001,0.0952
product,P000580,Solace His,Beauty,P001967,Harbor Reach,Pet Supplies,2,0.0001,0.0952
product,P001167,Everest Stock,Sports,P001225,Orion Begin,Automotive,2,0.0001,0.0952
product,P001485,Pulse Lose,Electronics,P000560,Everest End,Toys,2,0.0001,0.0952
product,P001658,Harbor Agree,Clothing,P000731,Pulse Treat,Electronics,2,0.0001,0.0952
product,P000998,Acme Cause,Sports,P001025,Solace Policy,Sports,2,0.0001,0.0952
product,P001049,Zenith Their,Electronics,P000777,NeoTech Eye,Pet Supplies,2,0.0001,0.0952
product,P001468,NeoTech Town,Automotive,P000125,Orion Gas,Beauty,2,0.0001,0.0952
product,P001552,Nimbus Key,Automotive,P001617,Astra Plant,Automotive,2,0.0001,0.0952
product,P001696,Astra Woman,Clothing,P001617,Astra Plant,Automotive,2,0.0001,0.0952
product,P001520,Pulse Chair,Sports,P000761,Willow Perform,Pet Supplies,2,0.0001,0.0952
product,P000700,GreenLeaf Century,Clothing,P001426,Nimbus Attorney,Home & Kitchen,2,0.0001,0.0952
product,P001433,NeoTech My,Automotive,P001200,Nimbus Us,Toys,2,0.0001,0.0952
product,P000776,Pulse Study,Clothing,P000497,Acme Owner,Books,2,0.0001,0.0952
product,P000574,Astra Computer,Beauty,P001531,Pulse Race,Pet Supplies,2,0.0001,0.0952
product,P001385,Willow We,Automotive,P000996,Harbor Source,Clothing,2,0.0001,0.0952
product,P001690,Solace Professional,Sports,P000479,Astra Hospital,Pet Supplies,2,0.0001,0.0952
product,P001916,GreenLeaf Feel,Home & Kitchen,P001473,Orion Former,Toys,2,0.0001,0.0952
product,P001577,Solace Small,Toys,P000926,Zenith He,Home & Kitchen,2,0.0001,0.0952
product,P000334,Pulse Something,Pet Supplies,P000165,Solace Difference,Electronics,2,0.0001,0.0952
product,P001698,GreenLeaf Day,Clothing,P000540,Zenith Foreign,Automotive,2,0.0001,0.0952
product,P000376,Zenith Color,Automotive,P001771,GreenLeaf Guess,Sports,2,0.0001,0.0952
product,P000410,Nimbus Surface,Beauty,P001829,Harbor Point,Clothing,2,0.0001,0.0952
product,P001207,Zenith War,Beauty,P000893,Astra Worker,Pet Supplies,2,0.0001,0.0952
product,P000923,NeoTech Change,Groceries,P001160,Everest Compare,Sports,2,0.0001,0.0952
product,P001375,Astra Owner,Electronics,P001665,Astra Might,Toys,2,0.0001,0.0952
product,P000886,Pulse Sea,Automotive,P001029,Zenith Might,Groceries,2,0.0001,0.0952
product,P001600,Harbor Significant,Sports,P001534,Zenith Trial,Beauty,2,0.0001,0.0952
product,P000249,NeoTech Husband,Books,P000297,Everest Deep,Automotive,2,0.0001,0.0952
product,P000814,Solace Song,Electronics,P000497,Acme Owner,Books,2,0.0001,0.0952
product,P001577,Solace Small,Toys,P001955,Astra Remain,Beauty,2,0.0001,0.0952
product,P001600,Harbor Significant,Sports,P000509,NeoTech Throw,Electronics,2,0.0001,0.0952
product,P000831,Zenith Strong,Pet Supplies,P001144,GreenLeaf Know,Clothing,2,0.0001,0.0952
product,P000755,Nimbus Affect,Books,P000749,GreenLeaf Authority,Electronics,2,0.0001,0.0952
product,P000103,Harbor Two,Books,P000021,Willow Special,Electronics,2,0.0001,0.0952
product,P001020,Acme Miss,Electronics,P001024,Astra Pull,Electronics,2,0.0001,0.0952
product,P000979,Solace Per,Home & Kitchen,P000795,GreenLeaf News,Books,2,0.0001,0.0952
product,P001974,Astra Animal,Automotive,P000247,Solace Finish,Books,2,0.0001,0.0952
product,P000567,Orion Democrat,Home & Kitchen,P001782,Zenith Security,Clothing,2,0.0001,0.0952
product,P000812,Solace Time,Groceries,P000858,Harbor City,Clothing,2,0.0001,0.0952
product,P000031,Pulse The,Books,P000703,Everest It,Beauty,2,0.0001,0.0952
product,P000028,Astra Road,Automotive,P000942,Acme Memory,Clothing,2,0.0001,0.0952
product,P001350,Harbor Production,Clothing,P000297,Everest Deep,Automotive,2,0.0001,0.0952
product,P001520,Pulse Chair,Sports,P000417,Astra Lose,Beauty,2,0.0001,0.0952
product,P000812,Solace Time,Groceries,P000602,Nimbus Word,Toys,2,0.0001,0.0952
product,P001484,Astra Key,Electronics,P000589,Astra Next,Toys,2,0.0001,0.0952
product,P001520,Pulse Chair,Sports,P001611,Willow Benefit,Electronics,2,0.0001,0.0952
product,P001705,Astra Marriage,Groceries,P000183,Orion Like,Groceries,2,0.0001,0.0952
product,P001797,GreenLeaf Green,Automotive,P000750,Astra Leader,Beauty,2,0.0001,0.0952
product,P000750,Astra Leader,Beauty,P001797,GreenLeaf Green,Automotive,2,0.0001,0.0952
product,P001350,Harbor Production,Clothing,P000831,Zenith Strong,Pet Supplies,2,0.0001,0.0952
product,P000108,Willow Fall,Pet Supplies,P000289,NeoTech Position,Books,2,0.0001,0.0952
product,P001421,Astra Mean,Electronics,P001067,GreenLeaf More,Sports,2,0.0001,0.0952
product,P001437,Solace Hundred,Pet Supplies,P000007,Zenith School,Toys,2,0.0001,0.0952
product,P001670,NeoTech Outside,Beauty,P001821,Orion Off,Electronics,2,0.0001,0.0952
product,P000898,Zenith Although,Sports,P001989,GreenLeaf Major,Books,2,0.0001,0.0952
product,P001053,NeoTech Market,Beauty,P000654,Pulse Run,Toys,2,0.0001,0.0952
product,P000394,Acme Boy,Toys,P000815,Willow Leader,Home & Kitchen,2,0.0001,0.0952
product,P001317,Everest System,Home & Kitchen,P000388,GreenLeaf Discover,Clothing,2,0.0001,0.0952
product,P001705,Astra Marriage,Groceries,P000041,Harbor Recent,Books,2,0.0001,0.0952
product,P000567,Orion Democrat,Home & Kitchen,P000164,Astra Town,Books,2,0.0001,0.0952
product,P000831,Zenith Strong,Pet Supplies,P001350,Harbor Production,Clothing,2,0.0001,0.0952
product,P001110,Zenith Again,Toys,P000540,Zenith Foreign,Automotive,2,0.0001,0.0909
product,P001162,Zenith Price,Books,P000244,Everest Sell,Books,2,0.0001,0.0909
product,P000608,GreenLeaf Visit,Toys,P001806,Nimbus Focus,Pet Supplies,2,0.0001,0.0909
product,P001780,Pulse Voice,Pet Supplies,P001114,Pulse Start,Home & Kitchen,2,0.0001,0.0909
product,P001217,Everest Really,Beauty,P000152,Zenith Soon,Sports,2,0.0001,0.0909
product,P001109,Acme So,Toys,P001996,NeoTech Turn,Home & Kitchen,2,0.0001,0.0909
product,P001609,Nimbus Hold,Books,P001631,Acme Real,Sports,2,0.0001,0.0909
