product_id,product_name,category,brand,price,avg_rating_overall,rating_30d,total_risk_reviews,top_pain_points,action_required
P000534,Astra Speak,Pet Supplies,Astra,19.24,3.5,4.0,2,"arrived, damaged, expected",Product Team Review
P000535,Willow Exactly,Clothing,Willow,62.96,3.0,4.0,2,"arrived, damaged",Product Team Review
P000439,GreenLeaf Need,Clothing,GreenLeaf,115.37,3.33,4.0,2,"expected, quality, poor",Product Team Review
P001192,Pulse Street,Home & Kitchen,Pulse,73.31,3.7,,2,"arrived, damaged",Product Team Review
P001191,Pulse Direction,Toys,Pulse,43.64,3.09,2.0,2,"arrived, damaged",Product Team Review
P001188,Astra Study,Toys,Astra,61.06,3.42,,2,"arrived, damaged, expected",Product Team Review
P001182,Pulse Road,Beauty,Pulse,129.7,3.33,,2,"expected, quality, poor",Product Team Review
P000545,Pulse Understand,Sports,Pulse,55.49,3.18,4.5,2,"arrived, damaged, expected",Product Team Review
P000428,Zenith Stay,Beauty,Zenith,135.76,3.56,,2,"expected, quality, poor",Product Team Review
P001385,Willow We,Automotive,Willow,710.57,2.89,3.5,2,"arrived, damaged",Product Team Review
P000423,Everest Police,Pet Supplies,Everest,60.29,3.43,,2,"arrived, damaged, expected",Product Team Review
P001318,Orion Skill,Beauty,Orion,66.97,3.3,,2,"expected, quality, poor",Product Team Review
P001314,Orion Response,Beauty,Orion,81.49,3.62,,2,"expected, quality, poor",Product Team Review
P000601,Acme Manage,Sports,Acme,343.78,2.57,,2,"expected, quality, poor",Product Team Review
P000469,Everest Later,Toys,Everest,13.01,3.88,,2,"expected, quality, poor",Product Team Review
P000499,Zenith Baby,Clothing,Zenith,115.81,2.6,,2,"expected, quality, poor",Product Team Review
P000498,Pulse Debate,Home & Kitchen,Pulse,112.79,3.5,,2,"expected, quality, poor",Product Team Review
P000497,Acme Owner,Books,Acme,15.21,3.4,,2,"arrived, damaged",Product Team Review
P001256,Astra Who,Books,Astra,46.57,2.73,,2,"arrived, damaged",Product Team Review
P001265,Harbor May,Clothing,Harbor,59.96,3.5,,2,"expected, quality, poor",Product Team Review
P001269,Nimbus Start,Toys,Nimbus,40.03,3.14,,2,"expected, quality, poor",Product Team Review
P001251,NeoTech Truth,Home & Kitchen,NeoTech,270.85,3.0,,2,"arrived, damaged, expected",Product Team Review
P000489,NeoTech Conference,Groceries,NeoTech,5.11,4.0,,2,"expected, quality, poor",Product Team Review
P000508,Zenith Small,Electronics,Zenith,177.88,3.43,3.0,2,"arrived, damaged, expected",Product Team Review
P000485,NeoTech Several,Groceries,NeoTech,9.97,3.75,,2,"arrived, damaged, expected",Product Team Review
P001244,Zenith Reduce,Books,Zenith,25.57,3.43,,2,"expected, quality, poor",Product Team Review
P001289,Zenith About,Pet Supplies,Zenith,66.74,3.71,,2,"expected, quality, poor",Product Team Review
P001290,Solace And,Clothing,Solace,108.57,3.2,,2,"expected, quality, poor",Product Team Review
P001294,Solace But,Toys,Solace,45.66,3.5,,2,"expected, quality, poor",Product Team Review
P001296,Harbor Pick,Toys,Harbor,14.7,3.83,,2,"expected, quality, poor",Product Team Review
P001299,Everest College,Toys,Everest,84.37,3.5,,2,"arrived, damaged, expected",Product Team Review
P001239,Zenith Environmental,Groceries,Zenith,15.79,2.9,,2,"arrived, damaged, expected",Product Team Review
P000516,Nimbus Threat,Sports,Nimbus,253.68,3.0,,2,"arrived, damaged",Product Team Review
P001234,Nimbus Morning,Sports,Nimbus,488.59,4.12,,2,"expected, quality, poor",Product Team Review
P001171,Zenith Memory,Clothing,Zenith,208.75,3.36,2.0,2,"arrived, damaged, expected",Product Team Review
P000417,Astra Lose,Beauty,Astra,218.42,3.67,3.5,2,"arrived, damaged, expected",Product Team Review
P001395,Everest Dog,Home & Kitchen,Everest,269.98,3.67,3.0,2,"expected, quality, poor",Product Team Review
P001166,Solace Peace,Sports,Solace,61.86,3.38,,2,"expected, quality, poor",Product Team Review
P001475,Nimbus Place,Electronics,Nimbus,651.6,3.21,2.0,2,"arrived, damaged, expected",Product Team Review
P000364,Pulse Mr,Beauty,Pulse,41.57,3.17,3.0,2,"arrived, damaged",Product Team Review
P000362,Zenith Check,Toys,Zenith,104.09,3.62,4.0,2,"expected, quality, poor",Product Team Review
P000658,Nimbus Radio,Books,Nimbus,60.39,3.0,,2,"expected, quality, poor",Product Team Review
P001491,Zenith Society,Sports,Zenith,153.2,2.88,3.0,2,"arrived, damaged",Product Team Review
P001110,Zenith Again,Toys,Zenith,143.9,3.2,3.5,2,"arrived, damaged, expected",Product Team Review
P000356,Willow If,Pet Supplies,Willow,67.94,3.46,3.0,2,"expected, quality, poor",Product Team Review
P001499,Orion Follow,Automotive,Orion,598.63,3.5,,2,"arrived, damaged",Product Team Review
P000588,Everest She,Pet Supplies,Everest,19.35,3.75,,2,"expected, quality, poor",Product Team Review
P000590,NeoTech Protect,Beauty,NeoTech,13.34,3.44,,2,"expected, quality, poor",Product Team Review
P001105,Pulse A,Sports,Pulse,17.57,3.43,,2,"expected, quality, poor",Product Team Review
P000594,Zenith Commercial,Toys,Zenith,104.27,3.78,4.0,2,"arrived, damaged, expected",Product Team Review
P001519,Harbor Issue,Clothing,Harbor,130.87,3.5,5.0,2,"expected, quality, poor",Product Team Review
P001522,Harbor Draw,Toys,Harbor,43.7,3.25,,2,"arrived, damaged",Product Team Review
P000337,Zenith Item,Books,Zenith,23.28,3.67,3.0,2,"arrived, damaged, expected",Product Team Review
P000370,Everest Property,Automotive,Everest,201.91,3.86,,2,"arrived, damaged, expected",Product Team Review
P001473,Orion Former,Toys,Orion,88.39,3.3,,2,"arrived, damaged",Product Team Review
P000580,Solace His,Beauty,Solace,134.99,3.43,,2,"expected, quality, poor",Product Team Review
P001430,Astra Benefit,Clothing,Astra,41.44,3.4,,2,"expected, quality, poor",Product Team Review
P000414,Zenith Almost,Home & Kitchen,Zenith,63.21,3.27,2.0,2,"expected, quality, poor",Product Team Review
P000555,Acme Of,Electronics,Acme,1407.61,3.67,,2,"expected, quality, poor",Product Team Review
P000409,Pulse Idea,Groceries,Pulse,11.8,2.8,,2,"arrived, damaged",Product Team Review
P001158,Nimbus When,Books,Nimbus,18.38,3.64,3.0,2,"expected, quality, poor",Product Team Review
P001151,Zenith Sit,Pet Supplies,Zenith,32.07,3.44,,2,"arrived, damaged, expected",Product Team Review
P001412,Everest Exactly,Home & Kitchen,Everest,318.64,3.14,,2,"arrived, damaged",Product Team Review
P001148,Solace Hundred,Pet Supplies,Solace,51.8,3.83,4.0,2,"arrived, damaged",Product Team Review
P001142,Nimbus Last,Home & Kitchen,Nimbus,114.57,3.56,,2,"expected, quality, poor",Product Team Review
P001433,NeoTech My,Automotive,NeoTech,155.2,3.43,,2,"expected, quality, poor",Product Team Review
P001454,Zenith Left,Beauty,Zenith,178.76,3.42,1.0,2,"arrived, damaged, expected",Product Team Review
P001137,NeoTech More,Home & Kitchen,NeoTech,170.53,3.67,3.0,2,"expected, quality, poor",Product Team Review
P001136,Nimbus Bank,Electronics,Nimbus,244.29,3.25,,2,"arrived, damaged",Product Team Review
P000389,Willow Charge,Automotive,Willow,460.66,3.57,5.0,2,"expected, quality, poor",Product Team Review
P001440,NeoTech Despite,Sports,NeoTech,55.11,3.46,2.0,2,"arrived, damaged, expected",Product Team Review
P001444,Harbor Almost,Pet Supplies,Harbor,39.6,3.6,,2,"expected, quality, poor",Product Team Review
P001125,Harbor Against,Electronics,Harbor,1181.64,3.55,,2,"arrived, damaged, expected",Product Team Review
P001688,Zenith Mr,Sports,Zenith,59.25,3.31,4.5,2,"expected, quality, poor",Product Team Review
P001258,Nimbus Our,Pet Supplies,Nimbus,97.42,3.67,,2,"arrived, damaged, expected",Product Team Review
P000112,Orion Surface,Sports,Orion,65.21,3.55,3.5,2,"expected, quality, poor",Product Team Review
P001948,GreenLeaf Front,Toys,GreenLeaf,39.02,3.33,,2,"arrived, damaged, expected",Product Team Review
P001916,GreenLeaf Feel,Home & Kitchen,GreenLeaf,286.99,3.43,,2,"arrived, damaged, expected",Product Team Review
P001922,Acme Type,Automotive,Acme,201.36,3.57,,2,"arrived, damaged, expected",Product Team Review
P001812,Zenith Partner,Automotive,Zenith,713.74,4.33,,2,"expected, quality, poor",Product Team Review
P000132,Willow Recently,Clothing,Willow,135.87,3.6,,2,"arrived, damaged",Product Team Review
P000052,Nimbus To,Sports,Nimbus,138.89,3.5,,2,"expected, quality, poor",Product Team Review
P001929,Willow Front,Books,Willow,90.65,3.5,2.0,2,"arrived, damaged",Product Team Review
P000918,Astra Space,Home & Kitchen,Astra,98.55,3.56,,2,"expected, quality, poor",Product Team Review
P000824,Nimbus Report,Beauty,Nimbus,83.11,3.45,4.0,2,"arrived, damaged, expected",Product Team Review
P000822,Astra All,Clothing,Astra,36.08,3.2,,2,"expected, quality, poor",Product Team Review
P000820,Orion Get,Automotive,Orion,974.16,4.0,5.0,2,"arrived, damaged",Product Team Review
P001801,Harbor Wrong,Sports,Harbor,365.24,3.25,2.0,2,"arrived, damaged",Product Team Review
P000817,Orion Adult,Beauty,Orion,134.54,3.57,,2,"expected, quality, poor",Product Team Review
P000816,Pulse Author,Toys,Pulse,56.6,3.11,4.0,2,"arrived, damaged",Product Team Review
P001791,Acme Democratic,Groceries,Acme,9.0,3.5,,2,"expected, quality, poor",Product Team Review
P000145,Willow Him,Home & Kitchen,Willow,219.69,3.5,3.0,2,"arrived, damaged, expected",Product Team Review
P000687,Everest Particularly,Sports,Everest,158.55,3.4,5.0,2,"expected, quality, poor",Product Team Review
P001789,Willow Wall,Automotive,Willow,409.61,3.33,,2,"arrived, damaged, expected",Product Team Review
P001787,Willow Forget,Clothing,Willow,160.19,3.8,,2,"expected, quality, poor",Product Team Review
P001951,Willow Perform,Pet Supplies,Willow,44.57,3.71,,2,"expected, quality, poor",Product Team Review
P000153,Pulse Care,Automotive,Pulse,147.47,3.57,,2,"expected, quality, poor",Product Team Review
P001771,GreenLeaf Guess,Sports,GreenLeaf,120.32,3.45,,2,"arrived, damaged",Product Team Review
P001770,Willow Film,Electronics,Willow,811.5,3.5,,2,"arrived, damaged",Product Team Review
P000040,Acme Night,Home & Kitchen,Acme,350.41,3.4,,2,"arrived, damaged, expected",Product Team Review
P000038,Astra Enter,Toys,Astra,44.23,3.5,,2,"arrived, damaged",Product Team Review
P000812,Solace Time,Groceries,Solace,24.2,3.5,,2,"arrived, damaged",Product Team Review
P001958,Willow Go,Pet Supplies,Willow,94.62,3.44,3.0,2,"expected, quality, poor",Product Team Review
P000162,Orion Most,Clothing,Orion,151.39,3.0,,2,"expected, quality, poor",Product Team Review
P001761,Everest Line,Home & Kitchen,Everest,32.15,2.5,,2,"expected, quality, poor",Product Team Review
P001819,Everest Organization,Beauty,Everest,69.22,3.4,,2,"expected, quality, poor",Product Team Review
P001822,Orion Race,Automotive,Orion,492.48,3.57,,2,"expected, quality, poor",Product Team Review
P000064,NeoTech Commercial,Sports,NeoTech,151.03,3.11,4.0,2,"expected, quality, poor",Product Team Review
P000843,NeoTech Finally,Home & Kitchen,NeoTech,51.57,3.0,,2,"arrived, damaged",Product Team Review
P000729,Orion View,Clothing,Orion,49.66,3.5,,2,"expected, quality, poor",Product Team Review
P000861,Orion Voice,Toys,Orion,81.52,3.0,,2,"arrived, damaged",Product Team Review
P000084,Orion Firm,Groceries,Orion,4.51,3.08,,2,"arrived, damaged",Product Team Review
P000086,Orion And,Pet Supplies,Orion,5.54,3.11,3.67,2,"arrived, damaged",Product Team Review
P001861,Acme Must,Books,Acme,47.06,3.54,,2,"expected, quality, poor",Product Team Review
P000078,Willow Determine,Automotive,Willow,344.26,3.09,,2,"expected, quality, poor",Product Team Review
P001851,Acme Wife,Pet Supplies,Acme,9.25,3.0,4.0,2,"expected, quality, poor",Product Team Review
P001883,Pulse Still,Pet Supplies,Pulse,59.59,3.3,2.5,2,"arrived, damaged, expected",Product Team Review
P000736,GreenLeaf The,Home & Kitchen,GreenLeaf,63.08,3.17,,2,"expected, quality, poor",Product Team Review
P001844,Nimbus Size,Books,Nimbus,70.23,3.36,3.0,2,"expected, quality, poor",Product Team Review
P000101,Willow Cultural,Clothing,Willow,32.69,3.25,,2,"arrived, damaged",Product Team Review
P001843,Nimbus Near,Toys,Nimbus,33.17,3.38,,2,"expected, quality, poor",Product Team Review
P000853,Everest Cultural,Beauty,Everest,121.17,3.3,3.0,2,"expected, quality, poor",Product Team Review
P001891,Nimbus Figure,Books,Nimbus,56.77,3.78,,2,"expected, quality, poor",Product Team Review
P001840,Orion Capital,Electronics,Orion,567.39,3.5,,2,"expected, quality, poor",Product Team Review
P000108,Willow Fall,Pet Supplies,Willow,41.44,3.43,,2,"arrived, damaged",Product Team Review
P000109,Everest Interesting,Clothing,Everest,188.18,3.14,,2,"expected, quality, poor",Product Team Review
P001839,Zenith Few,Sports,Zenith,180.71,3.6,,2,"arrived, damaged",Product Team Review
P001899,Everest International,Toys,Everest,49.77,3.4,,2,"expected, quality, poor",Product Team Review
P000113,Harbor Until,Clothing,Harbor,22.55,3.0,4.0,2,"expected, quality, poor",Product Team Review
P001833,Orion Blood,Beauty,Orion,88.37,2.86,2.0,2,"expected, quality, poor",Product Team Review
P000117,Acme Pattern,Books,Acme,20.8,3.33,,2,"arrived, damaged",Product Team Review
P001902,Acme Such,Sports,Acme,165.59,3.0,,2,"expected, quality, poor",Product Team Review
P000901,Willow Back,Sports,Willow,97.59,3.43,,2,"arrived, damaged",Product Team Review
P001825,Solace People,Home & Kitchen,Solace,203.57,3.67,4.0,2,"arrived, damaged",Product Team Review
P001824,Solace Foreign,Electronics,Solace,1233.6,3.12,,2,"expected, quality, poor",Product Team Review
P001823,Willow Bit,Sports,Willow,215.56,3.57,,2,"expected, quality, poor",Product Team Review
P000165,Solace Difference,Electronics,Solace,295.27,3.0,,2,"arrived, damaged, expected",Product Team Review
P001950,Pulse No,Groceries,Pulse,25.37,3.25,,2,"arrived, damaged",Product Team Review
P000859,Pulse Decide,Electronics,Pulse,422.22,3.5,,2,"expected, quality, poor",Product Team Review
P000208,Solace Move,Automotive,Solace,826.18,3.33,,2,"expected, quality, poor",Product Team Review
