product_id,product_name,category,brand,price,avg_rating_overall,rating_30d,rating_45d,rating_60d,total_risk_reviews,top_pain_points
P001257,Nimbus Small,Automotive,Nimbus,854.8,3.33,4.0,4.0,4.0,3,"arrived, damaged"
P000982,NeoTech Agent,Pet Supplies,NeoTech,64.46,3.22,,,2.0,3,"expected, quality, poor"
P001641,NeoTech Purpose,Automotive,NeoTech,705.88,3.15,4.0,4.0,4.0,3,"arrived, damaged"
P000505,Solace Future,Books,Solace,42.15,3.78,3.5,3.5,3.5,3,"expected, quality, poor"
P001647,Acme It,Clothing,Acme,118.8,3.27,,,,3,"expected, quality, poor"
P001223,GreenLeaf Age,Books,GreenLeaf,46.87,2.88,1.0,1.0,2.0,3,"expected, quality, poor"
P001959,Everest Television,Automotive,Everest,120.33,3.82,5.0,5.0,5.0,3,"expected, quality, poor"
P001200,Nimbus Us,Toys,Nimbus,134.65,3.5,5.0,5.0,5.0,3,"expected, quality, poor"
P000643,Willow Age,Clothing,Willow,105.35,3.45,,,,3,"expected, quality, poor"
P001683,NeoTech Make,Sports,NeoTech,71.52,3.0,,2.5,2.67,3,"expected, quality, poor"
P001972,Pulse Establish,Pet Supplies,Pulse,38.53,3.12,,,,3,"expected, quality, poor"
P001719,Zenith Natural,Home & Kitchen,Zenith,268.64,3.36,2.0,2.5,3.0,3,"expected, quality, poor"
P000191,GreenLeaf Produce,Toys,GreenLeaf,47.14,3.67,,5.0,5.0,3,"arrived, damaged, expected"
P001975,Orion Mouth,Sports,Orion,278.14,3.43,,3.0,3.0,3,"arrived, damaged, expected"
P001330,NeoTech Hair,Pet Supplies,NeoTech,65.37,2.89,2.0,2.0,2.0,3,"expected, quality, poor"
P000258,Orion Trouble,Groceries,Orion,11.34,3.0,,3.0,2.0,3,"arrived, damaged, expected"
P000996,Harbor Source,Clothing,Harbor,54.74,3.25,,,,3,"expected, quality, poor"
P000780,Nimbus Condition,Toys,Nimbus,42.19,3.42,3.0,3.0,3.33,3,"arrived, damaged"
P001695,Pulse Look,Groceries,Pulse,11.71,3.3,,,,3,"arrived, damaged, expected"
P000193,Everest Nearly,Automotive,Everest,794.73,3.43,,,4.0,3,"arrived, damaged, expected"
P001674,Orion Ahead,Electronics,Orion,786.4,3.88,,,,2,"expected, quality, poor"
P000231,Zenith Behavior,Electronics,Zenith,178.96,2.75,,2.0,2.0,2,"expected, quality, poor"
P001057,Acme Up,Automotive,Acme,538.47,3.71,,,,2,"arrived, damaged"
P001059,Harbor Third,Beauty,Harbor,64.95,3.36,2.0,2.0,2.0,2,"arrived, damaged, expected"
P001062,Acme Paper,Sports,Acme,90.37,3.7,4.0,4.0,4.0,2,"expected, quality, poor"
P001579,Willow Know,Automotive,Willow,124.87,4.09,3.0,3.0,3.0,2,"expected, quality, poor"
P000304,Willow Site,Clothing,Willow,120.82,3.36,,5.0,5.0,2,"expected, quality, poor"
P001576,Nimbus Treat,Sports,Nimbus,51.04,3.9,3.0,3.0,3.0,2,"arrived, damaged, expected"
P001653,Nimbus Control,Electronics,Nimbus,1187.64,3.88,,,,2,"expected, quality, poor"
P001013,Willow Spring,Automotive,Willow,1047.18,3.57,,,,2,"arrived, damaged"
P001681,Astra Compare,Books,Astra,6.08,3.86,,,,2,"arrived, damaged, expected"
P001675,Solace Majority,Groceries,Solace,5.2,3.0,,,,2,"arrived, damaged"
P001575,Nimbus Approach,Groceries,Nimbus,32.63,3.83,,,,2,"expected, quality, poor"
P001070,Harbor Which,Home & Kitchen,Harbor,152.24,3.92,,,,2,"arrived, damaged, expected"
P001056,Willow Around,Beauty,Willow,32.02,3.14,3.0,3.0,3.0,2,"expected, quality, poor"
P001567,Zenith Myself,Sports,Zenith,77.3,2.67,,,,2,"expected, quality, poor"
P001566,Willow Entire,Groceries,Willow,23.71,3.5,,,,2,"expected, quality, poor"
P000227,Solace Risk,Home & Kitchen,Solace,238.61,4.0,5.0,5.0,5.0,2,"expected, quality, poor"
P000226,Solace School,Clothing,Solace,118.33,3.43,3.0,3.0,3.0,2,"expected, quality, poor"
P000614,Solace Car,Clothing,Solace,135.38,3.0,,,,2,"expected, quality, poor"
P001081,Astra Act,Electronics,Astra,985.35,3.4,,3.5,3.33,2,"arrived, damaged"
P000320,Zenith Religious,Clothing,Zenith,47.88,3.45,2.0,3.0,3.0,2,"arrived, damaged"
P000321,Pulse Month,Groceries,Pulse,8.99,3.8,,4.0,4.0,2,"arrived, damaged, expected"
P001082,Orion Night,Groceries,Orion,1.78,3.2,,,,2,"arrived, damaged"
P000609,Zenith Nation,Books,Zenith,42.5,3.56,,,,2,"expected, quality, poor"
P001651,Acme Those,Toys,Acme,109.53,3.71,5.0,5.0,5.0,2,"arrived, damaged"
P000626,NeoTech Practice,Home & Kitchen,NeoTech,59.97,3.29,,,,2,"arrived, damaged, expected"
P001055,Harbor Wonder,Clothing,Harbor,123.01,3.5,4.0,4.0,4.0,2,"expected, quality, poor"
P001648,Everest Even,Beauty,Everest,124.31,3.0,,,4.0,2,"arrived, damaged, expected"
P000266,Astra Success,Home & Kitchen,Astra,45.35,3.38,2.0,2.0,2.0,2,"arrived, damaged"
P001625,Harbor Sort,Clothing,Harbor,146.81,2.71,,,,2,"expected, quality, poor"
P000262,Astra Hear,Home & Kitchen,Astra,186.4,2.86,3.0,3.0,3.0,2,"expected, quality, poor"
P001624,Pulse Join,Clothing,Pulse,50.81,3.25,,,,2,"expected, quality, poor"
P000257,Zenith Film,Sports,Zenith,220.65,3.62,,5.0,5.0,2,"arrived, damaged"
P001622,Willow Break,Beauty,Willow,5.29,3.0,,,,2,"expected, quality, poor"
P001036,Pulse Security,Electronics,Pulse,1075.65,3.88,,,,2,"expected, quality, poor"
P000636,GreenLeaf Save,Automotive,GreenLeaf,94.4,3.23,2.0,2.0,2.0,2,"arrived, damaged, expected"
P000273,Willow Seem,Automotive,Willow,913.33,3.86,,,,2,"expected, quality, poor"
P001615,NeoTech Camera,Automotive,NeoTech,74.61,2.67,4.0,4.0,4.0,2,"arrived, damaged"
P000276,Solace Travel,Automotive,Solace,297.47,3.43,,,,2,"arrived, damaged"
P001610,Everest Republican,Pet Supplies,Everest,77.46,3.75,3.5,3.5,4.0,2,"expected, quality, poor"
P000280,Zenith Cold,Groceries,Zenith,23.41,3.75,,,,2,"arrived, damaged"
P001044,Nimbus Every,Home & Kitchen,Nimbus,90.82,3.6,,4.0,3.5,2,"expected, quality, poor"
P001607,Solace Institution,Beauty,Solace,65.0,3.0,,,,2,"expected, quality, poor"
P001605,Harbor Picture,Electronics,Harbor,492.64,3.5,,,,2,"arrived, damaged"
P001601,GreenLeaf Wall,Clothing,GreenLeaf,93.07,3.43,4.0,4.0,4.0,2,"arrived, damaged"
P001599,Willow Report,Books,Willow,63.33,3.0,3.0,3.0,3.0,2,"arrived, damaged, expected"
P000629,Willow A,Sports,Willow,210.39,3.2,,,,2,"expected, quality, poor"
P000290,Acme Board,Pet Supplies,Acme,44.33,3.33,,,,2,"expected, quality, poor"
P000291,Nimbus Goal,Books,Nimbus,50.3,3.0,2.0,2.0,2.0,2,"arrived, damaged, expected"
P001644,Acme Field,Beauty,Acme,157.79,3.85,,3.0,3.0,2,"expected, quality, poor"
P000628,Astra Small,Electronics,Astra,612.23,4.14,,,,2,"expected, quality, poor"
P000294,Zenith Recently,Automotive,Zenith,543.31,3.56,,,,2,"arrived, damaged"
P000247,Solace Finish,Books,Solace,10.2,3.67,,,,2,"arrived, damaged, expected"
P001053,NeoTech Market,Beauty,NeoTech,108.8,3.0,,4.0,4.0,2,"expected, quality, poor"
P000246,Willow Because,Automotive,Willow,216.58,3.14,,,,2,"arrived, damaged, expected"
P001588,GreenLeaf Without,Beauty,GreenLeaf,132.56,3.73,,,,2,"arrived, damaged"
P000245,Astra Get,Home & Kitchen,Astra,221.48,3.83,,,,2,"expected, quality, poor"
P000332,GreenLeaf Painting,Beauty,GreenLeaf,33.02,3.85,3.0,3.0,3.0,2,"arrived, damaged"
P000251,Solace Bill,Beauty,Solace,64.82,3.64,,,,2,"arrived, damaged, expected"
P000602,Nimbus Word,Toys,Nimbus,52.18,3.33,3.0,3.0,3.0,2,"expected, quality, poor"
P000520,Acme Appear,Beauty,Acme,161.29,2.6,4.0,4.0,4.0,2,"arrived, damaged"
P001221,NeoTech Job,Clothing,NeoTech,79.93,3.5,,,,2,"expected, quality, poor"
P000524,Everest Station,Toys,Everest,71.29,3.5,,,,2,"expected, quality, poor"
P000458,Everest Black,Electronics,Everest,982.1,3.58,4.0,4.0,4.0,2,"arrived, damaged"
P001338,Astra Key,Beauty,Astra,54.86,3.6,,3.0,3.0,2,"expected, quality, poor"
P000452,Zenith Total,Books,Zenith,37.56,3.22,,,,2,"expected, quality, poor"
P000529,Willow Out,Books,Willow,57.18,3.3,4.0,4.0,3.0,2,"expected, quality, poor"
P000534,Astra Speak,Pet Supplies,Astra,19.24,3.5,4.0,4.0,4.0,2,"arrived, damaged, expected"
P000443,Astra Great,Sports,Astra,61.6,3.44,,,4.0,2,"arrived, damaged, expected"
P000535,Willow Exactly,Clothing,Willow,62.96,3.0,4.0,4.0,4.0,2,"arrived, damaged"
P000439,GreenLeaf Need,Clothing,GreenLeaf,115.37,3.33,4.0,4.0,4.0,2,"expected, quality, poor"
P001192,Pulse Street,Home & Kitchen,Pulse,73.31,3.7,,,,2,"arrived, damaged"
P001191,Pulse Direction,Toys,Pulse,43.64,3.09,2.0,2.0,2.0,2,"arrived, damaged"
P001188,Astra Study,Toys,Astra,61.06,3.42,,,4.0,2,"arrived, damaged, expected"
P001182,Pulse Road,Beauty,Pulse,129.7,3.33,,,,2,"expected, quality, poor"
P000545,Pulse Understand,Sports,Pulse,55.49,3.18,4.5,4.5,4.5,2,"arrived, damaged, expected"
P000428,Zenith Stay,Beauty,Zenith,135.76,3.56,,,,2,"expected, quality, poor"
P001385,Willow We,Automotive,Willow,710.57,2.89,3.5,3.5,3.5,2,"arrived, damaged"
P000424,Everest Find,Home & Kitchen,Everest,439.51,2.6,,,,2,"expected, quality, poor"
P000423,Everest Police,Pet Supplies,Everest,60.29,3.43,,,,2,"arrived, damaged, expected"
P001318,Orion Skill,Beauty,Orion,66.97,3.3,,,,2,"expected, quality, poor"
P001314,Orion Response,Beauty,Orion,81.49,3.62,,,,2,"expected, quality, poor"
P000601,Acme Manage,Sports,Acme,343.78,2.57,,,,2,"expected, quality, poor"
P000469,Everest Later,Toys,Everest,13.01,3.88,,,4.0,2,"expected, quality, poor"
P000499,Zenith Baby,Clothing,Zenith,115.81,2.6,,,,2,"expected, quality, poor"
P000498,Pulse Debate,Home & Kitchen,Pulse,112.79,3.5,,3.0,3.0,2,"expected, quality, poor"
P000497,Acme Owner,Books,Acme,15.21,3.4,,,,2,"arrived, damaged"
P001256,Astra Who,Books,Astra,46.57,2.73,,,,2,"arrived, damaged"
P001265,Harbor May,Clothing,Harbor,59.96,3.5,,,,2,"expected, quality, poor"
P001269,Nimbus Start,Toys,Nimbus,40.03,3.14,,,3.0,2,"expected, quality, poor"
P001251,NeoTech Truth,Home & Kitchen,NeoTech,270.85,3.0,,,1.0,2,"arrived, damaged, expected"
P000489,NeoTech Conference,Groceries,NeoTech,5.11,4.0,,4.0,4.0,2,"expected, quality, poor"
P000508,Zenith Small,Electronics,Zenith,177.88,3.43,3.0,3.0,3.0,2,"arrived, damaged, expected"
P000485,NeoTech Several,Groceries,NeoTech,9.97,3.75,,4.0,4.0,2,"arrived, damaged, expected"
P001244,Zenith Reduce,Books,Zenith,25.57,3.43,,,,2,"expected, quality, poor"
P001289,Zenith About,Pet Supplies,Zenith,66.74,3.71,,,,2,"expected, quality, poor"
P001290,Solace And,Clothing,Solace,108.57,3.2,,3.0,3.0,2,"expected, quality, poor"
P001294,Solace But,Toys,Solace,45.66,3.5,,,,2,"expected, quality, poor"
P001296,Harbor Pick,Toys,Harbor,14.7,3.83,,,,2,"expected, quality, poor"
P001299,Everest College,Toys,Everest,84.37,3.5,,5.0,5.0,2,"arrived, damaged, expected"
P001239,Zenith Environmental,Groceries,Zenith,15.79,2.9,,,,2,"arrived, damaged, expected"
P000516,Nimbus Threat,Sports,Nimbus,253.68,3.0,,,,2,"arrived, damaged"
P001234,Nimbus Morning,Sports,Nimbus,488.59,4.12,,,,2,"expected, quality, poor"
P001171,Zenith Memory,Clothing,Zenith,208.75,3.36,2.0,2.0,2.0,2,"arrived, damaged, expected"
P000417,Astra Lose,Beauty,Astra,218.42,3.67,3.5,3.5,3.5,2,"arrived, damaged, expected"
P001395,Everest Dog,Home & Kitchen,Everest,269.98,3.67,3.0,3.0,3.0,2,"expected, quality, poor"
P001166,Solace Peace,Sports,Solace,61.86,3.38,,3.0,3.0,2,"expected, quality, poor"
P001475,Nimbus Place,Electronics,Nimbus,651.6,3.21,2.0,3.0,2.33,2,"arrived, damaged, expected"
P000368,Harbor Several,Sports,Harbor,257.21,3.4,2.0,2.0,2.0,2,"expected, quality, poor"
P000364,Pulse Mr,Beauty,Pulse,41.57,3.17,3.0,3.0,3.0,2,"arrived, damaged"
P000362,Zenith Check,Toys,Zenith,104.09,3.62,4.0,4.0,4.0,2,"expected, quality, poor"
P000658,Nimbus Radio,Books,Nimbus,60.39,3.0,,,,2,"expected, quality, poor"
P000361,Harbor Man,Clothing,Harbor,168.32,3.86,,,,2,"arrived, damaged"
P000584,Astra Bill,Books,Astra,85.22,3.33,,,,2,"expected, quality, poor"
P001491,Zenith Society,Sports,Zenith,153.2,2.88,3.0,3.0,3.0,2,"arrived, damaged"
P001110,Zenith Again,Toys,Zenith,143.9,3.2,3.5,3.5,3.5,2,"arrived, damaged, expected"
P000356,Willow If,Pet Supplies,Willow,67.94,3.46,3.0,3.0,3.0,2,"expected, quality, poor"
P001499,Orion Follow,Automotive,Orion,598.63,3.5,,,,2,"arrived, damaged"
P000588,Everest She,Pet Supplies,Everest,19.35,3.75,,,,2,"expected, quality, poor"
P001502,Willow Dark,Pet Supplies,Willow,71.02,3.71,,,,2,"arrived, damaged, expected"
P000590,NeoTech Protect,Beauty,NeoTech,13.34,3.44,,,,2,"expected, quality, poor"
P001105,Pulse A,Sports,Pulse,17.57,3.43,,3.0,3.0,2,"expected, quality, poor"
P000594,Zenith Commercial,Toys,Zenith,104.27,3.78,4.0,4.0,4.0,2,"arrived, damaged, expected"
P001519,Harbor Issue,Clothing,Harbor,130.87,3.5,5.0,5.0,5.0,2,"expected, quality, poor"
P001522,Harbor Draw,Toys,Harbor,43.7,3.25,,,,2,"arrived, damaged"
P000337,Zenith Item,Books,Zenith,23.28,3.67,3.0,3.67,3.67,2,"arrived, damaged, expected"
P000370,Everest Property,Automotive,Everest,201.91,3.86,,,,2,"arrived, damaged, expected"
P001473,Orion Former,Toys,Orion,88.39,3.3,,,,2,"arrived, damaged"
P000580,Solace His,Beauty,Solace,134.99,3.43,,,,2,"expected, quality, poor"
P001430,Astra Benefit,Clothing,Astra,41.44,3.4,,,,2,"expected, quality, poor"
P000414,Zenith Almost,Home & Kitchen,Zenith,63.21,3.27,2.0,2.0,2.0,2,"expected, quality, poor"
P000555,Acme Of,Electronics,Acme,1407.61,3.67,,,4.0,2,"expected, quality, poor"
P000409,Pulse Idea,Groceries,Pulse,11.8,2.8,,,,2,"arrived, damaged"
P001158,Nimbus When,Books,Nimbus,18.38,3.64,3.0,3.0,3.0,2,"expected, quality, poor"
P001151,Zenith Sit,Pet Supplies,Zenith,32.07,3.44,,,,2,"arrived, damaged, expected"
P001412,Everest Exactly,Home & Kitchen,Everest,318.64,3.14,,,,2,"arrived, damaged"
P001148,Solace Hundred,Pet Supplies,Solace,51.8,3.83,4.0,4.0,4.0,2,"arrived, damaged"
P001142,Nimbus Last,Home & Kitchen,Nimbus,114.57,3.56,,,5.0,2,"expected, quality, poor"
P001433,NeoTech My,Automotive,NeoTech,155.2,3.43,,,,2,"expected, quality, poor"
P001454,Zenith Left,Beauty,Zenith,178.76,3.42,1.0,1.0,1.0,2,"arrived, damaged, expected"
P001137,NeoTech More,Home & Kitchen,NeoTech,170.53,3.67,3.0,3.0,3.0,2,"expected, quality, poor"
P001136,Nimbus Bank,Electronics,Nimbus,244.29,3.25,,,,2,"arrived, damaged"
P000389,Willow Charge,Automotive,Willow,460.66,3.57,5.0,4.5,4.0,2,"expected, quality, poor"
P001440,NeoTech Despite,Sports,NeoTech,55.11,3.46,2.0,2.0,2.67,2,"arrived, damaged, expected"
P000571,Pulse Site,Books,Pulse,40.7,3.14,,,,2,"expected, quality, poor"
P001444,Harbor Almost,Pet Supplies,Harbor,39.6,3.6,,,3.0,2,"expected, quality, poor"
P000383,Nimbus Knowledge,Sports,Nimbus,26.27,3.0,,,,2,"arrived, damaged"
P001125,Harbor Against,Electronics,Harbor,1181.64,3.55,,,,2,"arrived, damaged, expected"
P001688,Zenith Mr,Sports,Zenith,59.25,3.31,4.5,4.5,4.5,2,"expected, quality, poor"
P001258,Nimbus Our,Pet Supplies,Nimbus,97.42,3.67,,,,2,"arrived, damaged, expected"
P000112,Orion Surface,Sports,Orion,65.21,3.55,3.5,3.5,3.5,2,"expected, quality, poor"
P001948,GreenLeaf Front,Toys,GreenLeaf,39.02,3.33,,,,2,"arrived, damaged, expected"
P001916,GreenLeaf Feel,Home & Kitchen,GreenLeaf,286.99,3.43,,,,2,"arrived, damaged, expected"
P001922,Acme Type,Automotive,Acme,201.36,3.57,,,,2,"arrived, damaged, expected"
P001812,Zenith Partner,Automotive,Zenith,713.74,4.33,,,,2,"expected, quality, poor"
P000132,Willow Recently,Clothing,Willow,135.87,3.6,,,,2,"arrived, damaged"
P000052,Nimbus To,Sports,Nimbus,138.89,3.5,,,,2,"expected, quality, poor"
P001929,Willow Front,Books,Willow,90.65,3.5,2.0,3.0,3.0,2,"arrived, damaged"
P000918,Astra Space,Home & Kitchen,Astra,98.55,3.56,,,,2,"expected, quality, poor"
P000824,Nimbus Report,Beauty,Nimbus,83.11,3.45,4.0,4.0,3.5,2,"arrived, damaged, expected"
P000822,Astra All,Clothing,Astra,36.08,3.2,,,3.0,2,"expected, quality, poor"
P000820,Orion Get,Automotive,Orion,974.16,4.0,5.0,5.0,5.0,2,"arrived, damaged"
P001801,Harbor Wrong,Sports,Harbor,365.24,3.25,2.0,2.0,2.0,2,"arrived, damaged"
P000817,Orion Adult,Beauty,Orion,134.54,3.57,,,,2,"expected, quality, poor"
P000816,Pulse Author,Toys,Pulse,56.6,3.11,4.0,4.0,4.0,2,"arrived, damaged"
P001791,Acme Democratic,Groceries,Acme,9.0,3.5,,,,2,"expected, quality, poor"
P000145,Willow Him,Home & Kitchen,Willow,219.69,3.5,3.0,2.5,2.5,2,"arrived, damaged, expected"
P000687,Everest Particularly,Sports,Everest,158.55,3.4,5.0,4.0,4.0,2,"expected, quality, poor"
P001789,Willow Wall,Automotive,Willow,409.61,3.33,,4.0,4.0,2,"arrived, damaged, expected"
P001787,Willow Forget,Clothing,Willow,160.19,3.8,,,3.0,2,"expected, quality, poor"
P001951,Willow Perform,Pet Supplies,Willow,44.57,3.71,,,5.0,2,"expected, quality, poor"
P000151,Solace Be,Groceries,Solace,23.37,3.56,,5.0,5.0,2,"arrived, damaged"
P000153,Pulse Care,Automotive,Pulse,147.47,3.57,,,,2,"expected, quality, poor"
P001771,GreenLeaf Guess,Sports,GreenLeaf,120.32,3.45,,,,2,"arrived, damaged"
P001770,Willow Film,Electronics,Willow,811.5,3.5,,,,2,"arrived, damaged"
P000040,Acme Night,Home & Kitchen,Acme,350.41,3.4,,4.0,4.0,2,"arrived, damaged, expected"
P000813,Orion Smile,Clothing,Orion,205.74,3.71,,,,2,"expected, quality, poor"
P000038,Astra Enter,Toys,Astra,44.23,3.5,,,,2,"arrived, damaged"
P000812,Solace Time,Groceries,Solace,24.2,3.5,,,,2,"arrived, damaged"
P001958,Willow Go,Pet Supplies,Willow,94.62,3.44,3.0,3.0,2.0,2,"expected, quality, poor"
P000162,Orion Most,Clothing,Orion,151.39,3.0,,,1.0,2,"expected, quality, poor"
P001761,Everest Line,Home & Kitchen,Everest,32.15,2.5,,,,2,"expected, quality, poor"
P001819,Everest Organization,Beauty,Everest,69.22,3.4,,,,2,"expected, quality, poor"
P001822,Orion Race,Automotive,Orion,492.48,3.57,,,,2,"expected, quality, poor"
P000064,NeoTech Commercial,Sports,NeoTech,151.03,3.11,4.0,3.0,3.0,2,"expected, quality, poor"
P000843,NeoTech Finally,Home & Kitchen,NeoTech,51.57,3.0,,,,2,"arrived, damaged"
P000729,Orion View,Clothing,Orion,49.66,3.5,,3.0,3.0,2,"expected, quality, poor"
P000861,Orion Voice,Toys,Orion,81.52,3.0,,,,2,"arrived, damaged"
P000084,Orion Firm,Groceries,Orion,4.51,3.08,,,,2,"arrived, damaged"
P000086,Orion And,Pet Supplies,Orion,5.54,3.11,3.67,3.67,3.67,2,"arrived, damaged"
P001861,Acme Must,Books,Acme,47.06,3.54,,3.0,3.0,2,"expected, quality, poor"
P000078,Willow Determine,Automotive,Willow,344.26,3.09,,,,2,"expected, quality, poor"
P000734,Acme Like,Clothing,Acme,86.34,2.62,,,,2,"expected, quality, poor"
P001851,Acme Wife,Pet Supplies,Acme,9.25,3.0,4.0,4.0,4.0,2,"expected, quality, poor"
P001883,Pulse Still,Pet Supplies,Pulse,59.59,3.3,2.5,2.5,2.5,2,"arrived, damaged, expected"
P000736,GreenLeaf The,Home & Kitchen,GreenLeaf,63.08,3.17,,,,2,"expected, quality, poor"
P000717,Astra Nation,Books,Astra,53.24,3.1,,,3.0,2,"expected, quality, poor"
P001844,Nimbus Size,Books,Nimbus,70.23,3.36,3.0,3.0,3.0,2,"expected, quality, poor"
P000101,Willow Cultural,Clothing,Willow,32.69,3.25,,,,2,"arrived, damaged"
P001843,Nimbus Near,Toys,Nimbus,33.17,3.38,,,3.0,2,"expected, quality, poor"
P000853,Everest Cultural,Beauty,Everest,121.17,3.3,3.0,3.0,3.0,2,"expected, quality, poor"
P001891,Nimbus Figure,Books,Nimbus,56.77,3.78,,,,2,"expected, quality, poor"
P001840,Orion Capital,Electronics,Orion,567.39,3.5,,,,2,"expected, quality, poor"
P000108,Willow Fall,Pet Supplies,Willow,41.44,3.43,,3.0,3.0,2,"arrived, damaged"
P000109,Everest Interesting,Clothing,Everest,188.18,3.14,,5.0,5.0,2,"expected, quality, poor"
P001839,Zenith Few,Sports,Zenith,180.71,3.6,,,,2,"arrived, damaged"
P001899,Everest International,Toys,Everest,49.77,3.4,,,,2,"expected, quality, poor"
P000113,Harbor Until,Clothing,Harbor,22.55,3.0,4.0,4.0,4.0,2,"expected, quality, poor"
